dataset,repeat,split_id,seed,split_policy,method,variant,lam,sub_dim,eta,tau,smooth_backend,scoring_backend,num_nodes,num_features,num_classes,train_size,val_size,test_size,train_acc,val_acc,test_acc,cg_iters,cg_converged,time_sec,g_0,g_1,g_2,g_3,g_4,error
actor,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4676535129547119,0.3162006437778473,0.3151315748691559,6.0,True,3.341,0.481,0.5,0.51,0.554,0.4571,
actor,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.46436402201652527,0.32072368264198303,0.30921053886413574,8.0,True,3.765,0.4526,0.552,0.4475,0.5987,0.4206,
actor,1,1.0,1.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4476425349712372,0.3149670958518982,0.2947368323802948,13.0,True,4.784,0.4015,0.529,0.5251,0.638,0.2767,
actor,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.49424341320991516,0.32236841320991516,0.316447377204895,6.0,True,2.587,,,,,,
actor,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.49040570855140686,0.31825658679008484,0.3019736707210541,8.0,True,2.903,,,,,,
actor,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4750548303127289,0.29851973056793213,0.2874999940395355,13.0,True,4.163,,,,,,
actor,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,12,0.0,5.0,none,raw_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4893092215061188,0.3162006437778473,0.3118421137332916,0.0,True,1.08,,,,,,
actor,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.49424341320991516,0.32236841320991516,0.316447377204895,6.0,True,3.421,0.4906,0.4795,0.516,0.561,0.4779,
actor,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.49040570855140686,0.31825658679008484,0.3019736707210541,8.0,True,3.461,0.4626,0.4708,0.5411,0.576,0.4399,
actor,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600.0,932.0,5.0,3648.0,2432.0,1520.0,0.4893092215061188,0.3162006437778473,0.3118421137332916,13.0,True,4.515,0.4813,0.4824,0.5252,0.548,0.3702,
