algorithm,split,best_dim,val_acc,test_acc,total_branches,extra_branches
src_v9,0,64,0.6296296296296297,0.6359649122807017,15,10
src_v9,1,64,0.6296296296296297,0.6798245614035088,15,10
src_v9,2,64,0.644718792866941,0.6052631578947368,15,10
src_v9,3,64,0.6625514403292181,0.6271929824561403,15,10
src_v9,4,48,0.6680384087791496,0.6162280701754386,15,10
src_v9,5,64,0.6364883401920439,0.6096491228070176,15,10
src_v9,6,64,0.6159122085048011,0.6293859649122807,15,10
src_v9,7,48,0.6131687242798354,0.6337719298245614,15,10
src_v9,8,64,0.6598079561042524,0.625,15,10
src_v9,9,64,0.6392318244170097,0.6381578947368421,15,10
src_v10,0,64,0.691358024691358,0.6973684210526315,14,9
src_v10,1,32,0.6790123456790124,0.7346491228070176,12,7
src_v10,2,64,0.7146776406035665,0.6710526315789473,13,8
src_v10,3,64,0.7119341563786008,0.6644736842105263,14,9
src_v10,4,32,0.7050754458161865,0.6951754385964912,11,6
src_v10,5,48,0.7091906721536351,0.6995614035087719,12,7
src_v10,6,64,0.6872427983539094,0.6710526315789473,12,7
src_v10,7,48,0.6529492455418381,0.6842105263157895,13,8
src_v10,8,32,0.7023319615912208,0.668859649122807,13,8
src_v10,9,48,0.6995884773662552,0.6798245614035088,14,9


