dataset,repeat,split_id,seed,split_policy,method,variant,lam,sub_dim,eta,tau,smooth_backend,scoring_backend,num_nodes,num_features,num_classes,train_size,val_size,test_size,train_acc,val_acc,test_acc,cg_iters,cg_converged,time_sec,g_0,g_1,g_2,g_3,g_4
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.4638157784938812,0.31414473056793213,0.3019736707210541,13,True,6.602,0.45,0.4738,0.5391,0.5343,0.4075
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,5.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.4638157784938812,0.31414473056793213,0.3019736707210541,16,True,6.511,0.5201,0.4942,0.5276,0.5,0.3642
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,0.5,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.48629385232925415,0.30427631735801697,0.3019736707210541,6,True,3.967,0.4649,0.5291,0.5276,0.485,0.4702
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,1.0,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.4961622953414917,0.3046875,0.2789473831653595,8,True,4.698,0.4749,0.5262,0.5368,0.4551,0.504
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,3.0,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.48629385232925415,0.30427631735801697,0.3019736707210541,13,True,5.556,0.4649,0.5551,0.5664,0.4508,0.4249
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,5.0,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.48629385232925415,0.30427631735801697,0.3019736707210541,16,True,7.006,0.445,0.5291,0.6153,0.4615,0.3866
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4517543911933899,0.31866776943206787,0.31118419766426086,6,True,4.404,0.505,0.5146,0.4678,0.5619,0.4761
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.44599780440330505,0.3190789520740509,0.30723685026168823,8,True,4.972,0.5,0.5407,0.4655,0.5828,0.4269
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4320175349712372,0.3137335479259491,0.30065789818763733,13,True,5.821,0.5747,0.5291,0.4701,0.5808,0.4114
actor,0,0,0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,5.0,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4205043911933899,0.30674341320991516,0.29144737124443054,16,True,6.33,0.6135,0.5029,0.4724,0.5619,0.3716
