algorithm,split,class_label,branch_i,branch_i_kind,branch_i_confuser,branch_j,branch_j_kind,branch_j_confuser,intersection,union,jaccard_overlap
src_v10,1,1,0,root,-1,2,extra,2,74,197,0.3756345177664975
src_v10,1,1,1,extra,0,2,extra,2,32,129,0.24806201550387597
src_v10,1,2,0,root,-1,1,extra,3,99,242,0.4090909090909091
src_v10,1,2,0,root,-1,2,extra,0,89,242,0.3677685950413223
src_v10,1,2,1,extra,3,2,extra,0,24,164,0.14634146341463414
src_v10,1,3,0,root,-1,1,extra,2,103,242,0.4256198347107438
src_v10,1,4,0,root,-1,1,extra,3,76,191,0.39790575916230364
src_v10,2,0,0,root,-1,1,extra,1,94,222,0.42342342342342343
src_v10,2,1,0,root,-1,1,extra,0,104,233,0.44635193133047213
src_v10,2,1,0,root,-1,2,extra,2,84,233,0.3605150214592275
src_v10,2,1,1,extra,0,2,extra,2,41,147,0.2789115646258503
src_v10,2,2,0,root,-1,1,extra,3,83,206,0.4029126213592233
src_v10,2,2,0,root,-1,2,extra,1,77,206,0.3737864077669903
src_v10,2,2,1,extra,3,2,extra,1,25,135,0.18518518518518517
src_v10,2,3,0,root,-1,1,extra,2,108,251,0.4302788844621514
src_v10,2,4,0,root,-1,1,extra,3,71,180,0.39444444444444443
src_v10,2,4,0,root,-1,2,extra,0,63,180,0.35
src_v10,2,4,1,extra,3,2,extra,0,17,117,0.1452991452991453
src_v10,3,0,0,root,-1,1,extra,1,97,219,0.4429223744292237
src_v10,3,0,0,root,-1,2,extra,2,82,219,0.3744292237442922
src_v10,3,0,1,extra,1,2,extra,2,60,119,0.5042016806722689
src_v10,3,1,0,root,-1,1,extra,0,97,218,0.44495412844036697
src_v10,3,1,0,root,-1,2,extra,2,77,218,0.3532110091743119
src_v10,3,1,1,extra,0,2,extra,2,37,137,0.27007299270072993
src_v10,3,2,0,root,-1,1,extra,3,87,219,0.3972602739726027
src_v10,3,2,0,root,-1,2,extra,0,85,219,0.3881278538812785
src_v10,3,2,1,extra,3,2,extra,0,15,157,0.09554140127388536
src_v10,3,3,0,root,-1,1,extra,2,109,256,0.42578125
src_v10,3,4,0,root,-1,1,extra,3,67,180,0.37222222222222223
src_v10,3,4,0,root,-1,2,extra,0,63,180,0.35
src_v10,3,4,1,extra,3,2,extra,0,6,124,0.04838709677419355
src_v10,4,0,0,root,-1,1,extra,1,80,209,0.3827751196172249
src_v10,4,1,0,root,-1,1,extra,0,114,246,0.4634146341463415
src_v10,4,2,0,root,-1,1,extra,3,85,210,0.40476190476190477
src_v10,4,2,0,root,-1,2,extra,0,77,210,0.36666666666666664
src_v10,4,2,1,extra,3,2,extra,0,16,146,0.1095890410958904
src_v10,4,3,0,root,-1,1,extra,2,103,236,0.4364406779661017
src_v10,4,4,0,root,-1,1,extra,3,77,191,0.4031413612565445
src_v10,5,0,0,root,-1,1,extra,1,89,226,0.3938053097345133
src_v10,5,1,0,root,-1,1,extra,0,100,214,0.4672897196261682
src_v10,5,1,0,root,-1,2,extra,2,81,214,0.37850467289719625
src_v10,5,1,1,extra,0,2,extra,2,33,148,0.22297297297297297
src_v10,5,2,0,root,-1,1,extra,3,93,232,0.40086206896551724
src_v10,5,2,0,root,-1,2,extra,0,90,232,0.3879310344827586
src_v10,5,2,1,extra,3,2,extra,0,17,166,0.10240963855421686
