split,best_dim,class_i,branch_i_index,branch_i_kind,class_j,branch_j_index,branch_j_kind,center_l2_distance,center_sq_distance,subspace_overlap_fro,mean_cos2_principal,min_principal_angle_deg,max_principal_angle_deg,principal_cosines_json
0,64,0,0,root,0,1,extra,0.3856861479905595,0.14875380475179578,5.342647721963858,0.44599819814071257,1.7290819233885595,89.9905607646478,"[0.9995446735071656, 0.9980945084870076, 0.9969513865107653, 0.9961670496507401, 0.9954358863617764, 0.9937293569849363, 0.9900758091432917, 0.9889696776314201, 0.9869754105750457, 0.9829044312444524, 0.980849491722313, 0.9757990748293619, 0.9721658671969214, 0.9707253440564637, 0.9680353703984036, 0.9592865130659621, 0.9499968531047064, 0.9389283680777392, 0.9265548426408847, 0.9218732084229434, 0.9020973047709011, 0.8885887972243899, 0.8852500138528427, 0.8765567791403888, 0.8513257356835569, 0.8332577478830023, 0.8247721306946376, 0.7932290793953287, 0.7660910255777028, 0.7383354384469412, 0.6490779601849178, 0.6165566682257303, 0.5473388343311574, 0.47887749898478266, 0.4495053111769752, 0.37821970205294614, 0.3541340397812353, 0.34473191840475137, 0.3161597095223417, 0.27597986391809753, 0.24775673119887837, 0.23604170444591743, 0.22482692831088819, 0.21315618120926533, 0.20797550986579322, 0.1955611049019621, 0.1713394566671133, 0.144432815046433, 0.13588705958309333, 0.11463912097817318, 0.10153118041554844, 0.09317767174133211, 0.0771873579186657, 0.07332282621164672, 0.0663490983510734, 0.06475520077591018, 0.05205830863342108, 0.038237626486428804, 0.034396236423546084, 0.026802889882153687, 0.022576613102969753, 0.014625450141768534, 0.009445725697568411, 0.0001647457350213645]"
0,64,0,0,root,0,2,extra,0.27880077517112384,0.07772987223601956,5.2351620195578485,0.42823314642220345,2.718664073062782,89.92350508650516,"[0.9988744770607371, 0.9979759883290323, 0.9954573425697691, 0.9902817638365663, 0.9879137866956814, 0.9853883543086264, 0.9825656148045605, 0.9812189630550976, 0.9800657148783919, 0.9782103631729057, 0.9712448485451133, 0.9691807999585539, 0.9641881507288398, 0.9554224689136308, 0.9521398540839445, 0.9273057050149082, 0.9210203071106349, 0.9157359509181374, 0.9055922530712381, 0.9050024208177359, 0.8811643501769525, 0.8778243236571609, 0.8750144501925889, 0.8550691528807276, 0.8331874193268427, 0.7968960712572213, 0.7558068932029746, 0.7237797485055995, 0.6961288552019598, 0.679252445470568, 0.6024338191321068, 0.5576362134287974, 0.5159828620812126, 0.4819940529489893, 0.440160853691166, 0.4283203205974187, 0.3670643603787823, 0.3512650758615095, 0.33273936378716457, 0.3108979269592128, 0.30013353145496297, 0.24459209843720356, 0.2112290168884704, 0.19880930717914327, 0.1811791087459345, 0.15876059282688854, 0.15116745462889863, 0.1285099824573233, 0.11976521768711224, 0.1044286816997464, 0.10175421545109409, 0.09630753914714847, 0.08843050489820246, 0.06970456620055772, 0.063338932659894, 0.056644122109888735, 0.048231752327367476, 0.04463005665943965, 0.02878525685737006, 0.019955156353156756, 0.014410009635347198, 0.012315156335285337, 0.005856609591914921, 0.0013350877048898088]"
0,64,0,0,root,1,0,root,0.3909034508829833,0.15280550791222494,3.68170373589018,0.211795974982308,12.468877545688738,89.95041251108401,"[0.9764134307660124, 0.9327312644767334, 0.9034168900065639, 0.88808304589996, 0.8394899037859216, 0.8071392872714097, 0.7771786143375455, 0.7426168910176795, 0.7059319674249958, 0.6902758117554922, 0.6649490782437951, 0.6352532365555895, 0.6282827805784943, 0.615084936816983, 0.5960561346030373, 0.5883637747046045, 0.5611073607918188, 0.5453123346407164, 0.5382442020236025, 0.525602108299992, 0.5085240754587423, 0.5009162441972503, 0.48800803541663024, 0.47924943641848505, 0.46242537091805774, 0.44089848747768423, 0.42130100879600846, 0.41430204044156616, 0.40706476350457493, 0.3860849988575358, 0.36443244619215875, 0.349772530250321, 0.31900054365306996, 0.28650387744347094, 0.2808310602083879, 0.26700027780391566, 0.25255527794013005, 0.25104257413383724, 0.23201956742848534, 0.22428886832176384, 0.2059960976009388, 0.19268563471804004, 0.186024825042978, 0.15655786624140822, 0.14192403721976082, 0.1344667888231841, 0.12836186147215423, 0.1210119359855155, 0.11836471706265671, 0.09990502101352722, 0.09295576732264522, 0.08585114360499872, 0.07959483781280684, 0.07292111281161497, 0.058236805417397446, 0.055503738154749314, 0.04513808701762103, 0.04305709957265668, 0.03657472201938495, 0.020623509700232693, 0.016011936243348682, 0.011139510690256834, 0.00576344870991433, 0.0008654648413372403]"
0,64,0,0,root,1,1,extra,0.5583006784354971,0.31169964754153645,3.4502951605251453,0.18600838585536317,12.968447070544567,89.99721868004566,"[0.9744937981385132, 0.9290087618347904, 0.9116250803491043, 0.9012465064896497, 0.840355713041598, 0.8277459123344588, 0.8131382603275169, 0.7928612952362508, 0.7186919637028035, 0.6773429094629445, 0.6605215807743103, 0.6547525158753672, 0.6340211637062269, 0.6137447238227148, 0.6025438980369979, 0.5816604603841857, 0.5275958420866815, 0.47743519492920666, 0.461215923471267, 0.44196837297891084, 0.4350099058649181, 0.4025320008678605, 0.39029415378597104, 0.35611280660783706, 0.3497405694658954, 0.3204955759764142, 0.3055478983923888, 0.27140041502774276, 0.2682772194184995, 0.24625024310673627, 0.2244852788450655, 0.21261826237411344, 0.20223457211316484, 0.18130239448965005, 0.1782342951498179, 0.16941533530798533, 0.15637615352765338, 0.1528509544482215, 0.13141117900068963, 0.12018765294140767, 0.10783108622599193, 0.10160690445017115, 0.0895915610907718, 0.08557779591947591, 0.07927242194888794, 0.07459972275504627, 0.06192187131422924, 0.05816825767090461, 0.05231184204539359, 0.048833540533805175, 0.04463079009292228, 0.03804797430475475, 0.03158388704289291, 0.02711886501308565, 0.021263290891488474, 0.020521028294438172, 0.01793702498227283, 0.012807892913013213, 0.009003131808467527, 0.007393438633859187, 0.004393516634083464, 0.003592336272907393, 0.0018348537440863988, 4.854319073562891e-05]"
0,64,0,0,root,1,2,extra,0.5686468247495172,0.3233592112977081,3.0850808550688678,0.156028260365778,13.912756559071507,89.66414238437139,"[0.9706629721972988, 0.9343503346672591, 0.9060032867563237, 0.8225837446037331, 0.7831413148355393, 0.7365585016006981, 0.6975743019223284, 0.6734934943411869, 0.613877956654241, 0.5934025713031496, 0.5652050295588426, 0.5482749716940979, 0.5351496264106921, 0.5133005596293198, 0.480793056919031, 0.46484203332225593, 0.45634670447543135, 0.41438837078858703, 0.3993938926330247, 0.36996171957012053, 0.3512859144025486, 0.3417467531970723, 0.32367540658910215, 0.30032270382259363, 0.27390335305596003, 0.25327759006795697, 0.24370110944752324, 0.23380042365386217, 0.22333868516951433, 0.2071217768612791, 0.19189117372633896, 0.1836207357442365, 0.17445813069656055, 0.16068530429452224, 0.15723495310031735, 0.13949654836263453, 0.13317932061474574, 0.1308291424456072, 0.1201093180341202, 0.11223429785712291, 0.10586575220785283, 0.10127123408819536, 0.09790034415537734, 0.08556299177865341, 0.07785659684558849, 0.07421873732264886, 0.07005842744484048, 0.06444439383934174, 0.05680909834407859, 0.04933356117624017, 0.045604253364847074, 0.039419457949148015, 0.035442269726963335, 0.03043141030585573, 0.027307690604382096, 0.020248222147689603, 0.01990348767260122, 0.015847926865715192, 0.010394219752049376, 0.009052076355792348, 0.005861787641052174]"
0,64,0,0,root,2,0,root,0.5672881814527231,0.3218158808159377,3.339372676596677,0.17424077926875706,16.66321632403321,89.90013000469692,"[0.9580067818230156, 0.8906656614296655, 0.8617081522989831, 0.7821956359401611, 0.7610006821250977, 0.7439362684720866, 0.7388045537272016, 0.7193871740251307, 0.6712618624593506, 0.654206233011208, 0.6454565124607549, 0.6093336830422933, 0.6067987338567931, 0.5813545495487865, 0.5520343244244477, 0.5499115588149756, 0.5362499028630132, 0.4998637438806877, 0.48100573580894934, 0.46165185803067005, 0.43787769711023145, 0.4277007616245874, 0.3953568299134761, 0.38641738871479847, 0.37376165841118203, 0.35809336793920016, 0.34413907104559444, 0.31724817606364475, 0.30344009791554233, 0.27758585993465085, 0.2685669474447281, 0.24357913544420182, 0.2415711291821534, 0.22812219396534086, 0.2094069071031012, 0.20536101984728175, 0.1853594306300824, 0.17712143694071597, 0.16306347858665696, 0.15319623790679787, 0.14973749379687495, 0.13570249591138311, 0.12447756690846468, 0.11937375439359312, 0.11794156292882596, 0.10715558307857101, 0.09980873440129286, 0.09128973664844381, 0.07677591195225618, 0.07426335036501473, 0.07045141204770751, 0.068194607505912, 0.057106195478478734, 0.05429100615550917, 0.04697076284832043, 0.03603504104411528, 0.03315985593991097, 0.030506627276777765, 0.02273298348539259, 0.019111376233534188, 0.013348568551179782, 0.011619352102549635, 0.003751334732268441, 0.0017430593593456719]"
0,64,0,0,root,2,1,extra,0.9860906482189039,0.9723747665047782,2.568170906515995,0.10305471570429989,17.09235465297758,89.85755763363167,"[0.9558322419945147, 0.7959734578752926, 0.7708092399650639, 0.7531670045278096, 0.6381145732109541, 0.6244468356890627, 0.6085311292370654, 0.5765920343641328, 0.5448558923583371, 0.4901536284154487, 0.4299253460865403, 0.41843148819771364, 0.4038089104651589, 0.3629071229925404, 0.348344450959125, 0.32847876199652926, 0.3196735880678862, 0.2881229018488541, 0.274516048686636, 0.2604107071006644, 0.23800542829362195, 0.23006678238302866, 0.22724688292199202, 0.21904041825488585, 0.2055033675845573, 0.19572256713024547, 0.19342446802702484, 0.17950933780355258, 0.17586862826152433, 0.16566117416091028, 0.1556345808538702, 0.14774692258430952, 0.14596783735587585, 0.133870917438015, 0.13007637004002984, 0.12287028166673718, 0.11768399424876187, 0.1120071037463928, 0.10277984733265338, 0.09655682596808811, 0.09160802290201916, 0.08488075847771079, 0.08195840835659764, 0.07385512463553247, 0.07015625238611957, 0.06549028113338458, 0.05913010320886905, 0.05572151833591214, 0.0519480403237714, 0.047685094503627505, 0.044031214861956845, 0.03722805953694244, 0.03487331666050248, 0.030832470485690756, 0.026460124044280078, 0.023961152376496903, 0.0188295234399721, 0.016082202367336356, 0.011342257641491537, 0.009127697817223427, 0.008020633213458162, 0.006567357569266999, 0.002695619178839311, 0.002486085726526106]"
0,64,0,0,root,2,2,extra,0.47216470964907126,0.22293951303799175,3.267817465026577,0.1668536091364488,17.686925482618463,89.96038234129395,"[0.9527308347801016, 0.8882147121826041, 0.8072374380388031, 0.7735464102023836, 0.7619863605920241, 0.743197752628181, 0.7062527955037521, 0.6795963821534653, 0.6655382491630983, 0.653229439790476, 0.6232083388177989, 0.6028691288674671, 0.5825749154300711, 0.5780503291650249, 0.5598468197705868, 0.5276717120663804, 0.5128165541888259, 0.4939106937708266, 0.4742517206335626, 0.4580362372589257, 0.4215052582931886, 0.40378174062084293, 0.3830962274719747, 0.37932582248435265, 0.3691009573915537, 0.35426317040356825, 0.324872200600198, 0.31180783665165696, 0.3010899111864029, 0.271304066809588, 0.264451205207301, 0.24366977266332815, 0.2372799999516328, 0.22140787721998104, 0.20754803026255245, 0.20217060373411275, 0.17333327652495967, 0.16332203271033713, 0.15984757742688058, 0.15226975750171712, 0.14496217635188713, 0.13873165912771657, 0.12436999411605253, 0.10982111083429355, 0.10638843504137831, 0.09844104786201546, 0.09087217030824116, 0.08248607929475602, 0.06757988715966294, 0.06463644950679884, 0.06042223976286506, 0.04717825877637016, 0.0422835540018479, 0.03701468758312145, 0.03576204970714783, 0.03015802346098607, 0.024646260709203237, 0.024080708103730135, 0.01722559856858323, 0.013589418183605345, 0.010298678636615335, 0.008401703101683393, 0.0052492780564736795, 0.0006914585312527032]"
0,64,0,0,root,3,0,root,0.7493366307412734,0.5615053861706838,3.0089876160829054,0.14146885115219193,23.295758315015046,89.76010058668058,"[0.9184756616012071, 0.830125430037461, 0.8080778829035803, 0.7715201556859133, 0.7569253397333047, 0.7345197970259094, 0.6992383870795278, 0.6712186121001767, 0.6533375825084474, 0.6346361340671858, 0.5793853837209518, 0.5516963156997636, 0.5315407409225462, 0.5126336824496965, 0.4967610546340786, 0.43861777953416736, 0.42900444334042537, 0.3969783169467595, 0.3830251896933842, 0.3520822971763073, 0.3310961786407508, 0.30898015176340327, 0.3022603175267115, 0.2904661581365004, 0.2711263966127174, 0.25711768082326936, 0.2486502600967825, 0.24144720789820687, 0.23510985245841245, 0.22061005225560443, 0.20975771550928077, 0.19672205677847732, 0.18956555630315414, 0.1824250053555573, 0.17034950211404754, 0.16388057645336568, 0.15767339140509973, 0.1500141130730249, 0.14001866075111757, 0.13288377768043388, 0.1237977618957758, 0.12233983562552403, 0.11080737738704823, 0.1071996646040458, 0.10177974506745963, 0.09581579845746747, 0.08901580911791601, 0.08033154291118738, 0.07678109876920879, 0.07479353973062187, 0.06786004693193942, 0.05588272272180526, 0.05201564833275064, 0.04667999887402422, 0.03919800394195734, 0.03913574310599327, 0.03128902924507045, 0.022403240810132723, 0.021048796716158592, 0.019222224299558253, 0.014559754959435216, 0.006488220260555397, 0.006083195465182424, 0.004187022402039362]"
0,64,0,0,root,3,1,extra,1.1971591265115054,1.4331899741897907,2.1263779015039552,0.07064817156256817,39.795780158178104,89.96257222548213,"[0.7683306656747176, 0.7369051454374798, 0.7190981243182409, 0.6174005226424754, 0.5823289443857791, 0.5575773978981109, 0.5092462411787417, 0.4167640894643006, 0.4053414955198525, 0.3697034476239624, 0.3456807661225639, 0.3173417089840485, 0.30429079805993464, 0.2897085473509341, 0.2680788286493287, 0.2457400242835191, 0.22950019623432577, 0.22404016705005503, 0.22170552533782623, 0.19430181745201353, 0.18831093476902286, 0.18538788205677506, 0.17985951319190607, 0.16479576257461614, 0.15851563425337115, 0.15256159281866893, 0.14977457035965583, 0.14569194609714528, 0.13580657970072327, 0.12899561712774318, 0.12047200746504383, 0.11654963989228306, 0.11058491788764833, 0.10718095156965558, 0.09555903800198867, 0.09294021155001148, 0.08935791879435244, 0.08671159568231933, 0.08187135878149096, 0.07622333128369754, 0.07245210976837535, 0.06833047703370831, 0.06419948969433324, 0.059505341050787065, 0.054840561168979333, 0.05140222745245369, 0.043147266926648865, 0.0406072785603858, 0.036101521529374146, 0.03200238978668262, 0.03160145848070763, 0.028193465554219657, 0.02366970899152557, 0.021251118340221226, 0.019206664157731732, 0.01629704744140752, 0.012517708012364225, 0.010961484291895982, 0.009741803116341345, 0.007675564470297616, 0.0054739575744681655, 0.0050062392390053815, 0.0021153161630052242, 0.0006532378505725734]"
