split,class_label,other_class,is_anchor_class,other_is_anchor,center_l2_distance,min_principal_angle_deg,subspace_overlap_fro,pair_confusion,conf_i_to_j,conf_j_to_i,coupling_distance_angle,coupled_confusion_score
0,1,0,0,1,0.3909034508829833,12.468877545688738,3.68170373589018,68,34,34,2.579951119959809,4.556796783305637
0,1,2,0,0,0.49326280465154854,16.771205709218655,3.4144322896425945,43,23,20,1.5200773514939965,1.6977487302400478
0,1,3,0,0,0.6601364550941627,24.132456834443744,3.0738950820386575,31,15,16,0.7893563142216713,0.6355856036590081
0,1,4,0,1,0.742672754589566,27.615870501916,2.733224617581642,9,4,5,0.613129359554318,0.1433289411945159
0,2,0,0,1,0.5672881814527231,16.66321632403321,3.339372676596677,41,14,27,1.3302883073208709,1.4166706649391092
0,2,1,0,0,0.49326280465154854,16.771205709218655,3.4144322896425945,43,23,20,1.5200773514939965,1.6977487302400478
0,2,3,0,0,0.4417666160266419,22.583311185360344,3.453047524911909,67,37,30,1.2604564056941219,2.193521537181978
0,2,4,0,1,0.4284842358882584,24.24253731381565,3.19856656343593,41,23,18,1.2105853686682948,1.28919480819221
0,3,0,0,1,0.7493366307412734,23.295758315015046,3.0089876160829054,26,12,14,0.720368189660434,0.48648241379665674
0,3,1,0,0,0.6601364550941627,24.132456834443744,3.0738950820386575,31,15,16,0.7893563142216713,0.6355856036590081
0,3,2,0,0,0.4417666160266419,22.583311185360344,3.453047524911909,67,37,30,1.2604564056941219,2.193521537181978
0,3,4,0,1,0.4198904649687054,24.606441835936504,3.197624126397279,36,15,21,1.217092290544595,1.1380603236261146
0,4,0,1,1,0.8358179951138132,28.574026013299026,2.681097213794492,15,6,9,0.52653250735931,0.20514253533479612
0,4,1,1,0,0.742672754589566,27.615870501916,2.733224617581642,9,4,5,0.613129359554318,0.1433289411945159
0,4,2,1,0,0.4284842358882584,24.24253731381565,3.19856656343593,41,23,18,1.2105853686682948,1.28919480819221
0,4,3,1,0,0.4198904649687054,24.606441835936504,3.197624126397279,36,15,21,1.217092290544595,1.1380603236261146
0,0,1,1,0,0.3909034508829833,12.468877545688738,3.68170373589018,68,34,34,2.579951119959809,4.556796783305637
0,0,2,1,0,0.5672881814527231,16.66321632403321,3.339372676596677,41,14,27,1.3302883073208709,1.4166706649391092
0,0,3,1,0,0.7493366307412734,23.295758315015046,3.0089876160829054,26,12,14,0.720368189660434,0.48648241379665674
0,0,4,1,1,0.8358179951138132,28.574026013299026,2.681097213794492,15,6,9,0.52653250735931,0.20514253533479612
1,1,0,0,1,0.4530659305448587,12.758037384730132,3.624340562215092,55,18,37,1.9794325474641106,2.756171901532306
1,1,2,0,0,0.465548830257064,17.319608960560082,3.2761677442334722,33,22,11,1.419000867064154,1.1854943952687869
1,1,3,0,1,0.6427117374320268,26.025774274520202,3.0057257043222263,22,14,8,0.6840157360830228,0.3809707897171266
1,1,4,0,0,0.6720975796497792,27.44993855769454,2.697756425731795,9,3,6,0.6201721718736461,0.14130505181931177
1,2,0,0,1,0.5364513247704614,16.82105612291732,3.195605367317922,46,14,32,1.2679507969713353,1.476600928118517
1,2,1,0,0,0.465548830257064,17.319608960560082,3.2761677442334722,33,22,11,1.419000867064154,1.1854943952687869
1,2,3,0,1,0.4531996987831448,22.440010103013524,3.558528188063266,67,37,30,1.1250538814156859,1.9083192418949608
1,2,4,0,0,0.4431812466702441,22.77965044723718,3.3734413015551765,49,28,21,1.1333330469247815,1.4059068177041594
1,4,0,0,1,0.8002357942017326,26.80235104679333,2.7373973373876717,14,5,9,0.5334517185360204,0.18907149517732366
1,4,1,0,0,0.6720975796497792,27.44993855769454,2.697756425731795,9,3,6,0.6201721718736461,0.14130505181931177
1,4,2,0,0,0.4431812466702441,22.77965044723718,3.3734413015551765,49,28,21,1.1333330469247815,1.4059068177041594
1,4,3,0,1,0.390399272379783,22.895310591143108,3.4157771307619673,53,26,27,1.2800603456013124,1.7175493244777105
1,0,1,1,0,0.4530659305448587,12.758037384730132,3.624340562215092,55,18,37,1.9794325474641106,2.756171901532306
1,0,2,1,0,0.5364513247704614,16.82105612291732,3.195605367317922,46,14,32,1.2679507969713353,1.476600928118517
1,0,3,1,1,0.769072015925264,23.23639537054435,2.905659960778936,18,8,10,0.6402509277589563,0.29175991644711935
1,0,4,1,0,0.8002357942017326,26.80235104679333,2.7373973373876717,14,5,9,0.5334517185360204,0.18907149517732366
1,3,0,1,1,0.769072015925264,23.23639537054435,2.905659960778936,18,8,10,0.6402509277589563,0.29175991644711935
1,3,1,1,0,0.6427117374320268,26.025774274520202,3.0057257043222263,22,14,8,0.6840157360830228,0.3809707897171266
1,3,2,1,0,0.4531996987831448,22.440010103013524,3.558528188063266,67,37,30,1.1250538814156859,1.9083192418949608
1,3,4,1,0,0.390399272379783,22.895310591143108,3.4157771307619673,53,26,27,1.2800603456013124,1.7175493244777105
2,1,0,0,1,0.44701888294192405,12.34356061258433,3.779401717948617,72,33,39,2.3890633676751634,6.255002271731337
2,1,2,0,0,0.5234157042813242,16.394714728767312,3.319094976334735,43,22,21,1.536184500690722,2.4020339465345835
2,1,3,0,1,0.6719268909135659,25.198758701987266,2.981706072872292,17,9,8,0.7785613173447593,0.4812924507222148
2,1,4,0,0,0.6965342175462932,26.03889588723661,2.8119444030392335,14,7,7,0.7268235168722997,0.37001924495317073
2,2,0,0,1,0.595628381518703,17.15800805907177,3.2023997832014364,25,5,20,1.2898872234953587,1.1726247486321442
2,2,1,0,0,0.5234157042813242,16.394714728767312,3.319094976334735,43,22,21,1.536184500690722,2.4020339465345835
2,2,3,0,1,0.4474082686297373,23.936912769514603,3.489803042147021,65,29,36,1.230897384407278,2.9093938176899297
2,2,4,0,0,0.4072243474201453,23.18325055573962,3.280907258204277,30,13,17,1.3963231139446801,1.5232615788487418
2,4,0,0,1,0.8180169315143883,25.579924777302885,2.6928605159070926,14,1,13,0.629988230752057,0.3207212811101381
2,4,1,0,0,0.6965342175462932,26.03889588723661,2.8119444030392335,14,7,7,0.7268235168722997,0.37001924495317073
2,4,2,0,0,0.4072243474201453,23.18325055573962,3.280907258204277,30,13,17,1.3963231139446801,1.5232615788487418
2,4,3,0,1,0.3992154065765302,22.796686338211387,3.27882653424367,40,15,25,1.4484882447511127,2.106891992365255
2,0,1,1,0,0.44701888294192405,12.34356061258433,3.779401717948617,72,33,39,2.3890633676751634,6.255002271731337
2,0,2,1,0,0.595628381518703,17.15800805907177,3.2023997832014364,25,5,20,1.2898872234953587,1.1726247486321442
2,0,3,1,1,0.7890395716470335,27.281238739484234,3.0127621358910557,22,16,6,0.6123942744267713,0.48991541954141704
2,0,4,1,0,0.8180169315143883,25.579924777302885,2.6928605159070926,14,1,13,0.629988230752057,0.3207212811101381
2,3,0,1,1,0.7890395716470335,27.281238739484234,3.0127621358910557,22,16,6,0.6123942744267713,0.48991541954141704
2,3,1,1,0,0.6719268909135659,25.198758701987266,2.981706072872292,17,9,8,0.7785613173447593,0.4812924507222148
2,3,2,1,0,0.4474082686297373,23.936912769514603,3.489803042147021,65,29,36,1.230897384407278,2.9093938176899297
2,3,4,1,0,0.3992154065765302,22.796686338211387,3.27882653424367,40,15,25,1.4484882447511127,2.106891992365255
3,1,0,0,1,0.4165790410381496,12.286248437765959,3.7014277046374207,66,30,36,2.535966978843773,5.149963710882738
3,1,2,0,0,0.5220730808872339,17.75689922272845,3.3156715263721,36,17,19,1.4001090808649508,1.5508900588042533
3,1,3,0,1,0.6620418326465363,26.136448328281034,2.819871968253079,18,14,4,0.7501157764306805,0.4154487377154538
3,1,4,0,0,0.7112385981668834,27.440606487243482,2.671093622058108,10,4,6,0.6650453785356711,0.20462934724174497
3,2,0,0,1,0.577531562247805,17.03234168849365,3.3324890840118164,43,15,28,1.319502503386355,1.745803312172716
3,2,1,0,0,0.5220730808872339,17.75689922272845,3.3156715263721,36,17,19,1.4001090808649508,1.5508900588042533
3,2,3,0,1,0.4195909722020449,23.11689470631724,3.467398164359656,74,37,37,1.3381496124943262,3.0468637330640043
3,2,4,0,0,0.3797755925435567,22.680334264398898,3.2238326953724283,29,13,16,1.506897811161434,1.3446165084209718
3,4,0,0,1,0.790461191167624,26.985097546263603,2.7850845262408757,16,5,11,0.6084932405298524,0.29956590303008124
3,4,1,0,0,0.7112385981668834,27.440606487243482,2.671093622058108,10,4,6,0.6650453785356711,0.20462934724174497
3,4,2,0,0,0.3797755925435567,22.680334264398898,3.2238326953724283,29,13,16,1.506897811161434,1.3446165084209718
3,4,3,0,1,0.41975785959909356,24.098511383801014,3.1977378731567145,39,17,22,1.2831317466204306,1.5397580959445167
3,0,1,1,0,0.4165790410381496,12.286248437765959,3.7014277046374207,66,30,36,2.535966978843773,5.149963710882738
3,0,2,1,0,0.577531562247805,17.03234168849365,3.3324890840118164,43,15,28,1.319502503386355,1.745803312172716
3,0,3,1,1,0.7343944889306993,24.83367842477041,3.022874273327579,22,8,14,0.7116883239002606,0.48175825002479183
