split,record_kind,class_label,other_class,count,class_scale,seed_size,median_gain,branch_debug_index
3,branch_debug,2,3,87,2.831460969976613,37,1.1408169434892752,0
3,branch_debug,2,0,85,2.831460969976613,28,1.1349812012396714,1
3,branch_debug,3,2,109,2.4179542020025013,37,0.7815680810285026,0
3,branch_debug,4,3,67,2.7477725571108707,22,1.565300969042716,0
3,branch_debug,4,0,63,2.7477725571108707,11,1.3305972466348135,1
4,oof_confusion,0,1,20,1.995202220648327,,,
4,oof_confusion,0,4,3,1.995202220648327,,,
4,oof_confusion,0,3,8,1.995202220648327,,,
4,oof_confusion,0,2,10,1.995202220648327,,,
4,oof_confusion,1,4,12,2.311878142699509,,,
4,oof_confusion,1,0,48,2.311878142699509,,,
4,oof_confusion,1,3,16,2.311878142699509,,,
4,oof_confusion,1,2,20,2.311878142699509,,,
4,oof_confusion,2,0,23,3.072218223717507,,,
4,oof_confusion,2,3,42,3.072218223717507,,,
4,oof_confusion,2,4,12,3.072218223717507,,,
4,oof_confusion,2,1,14,3.072218223717507,,,
4,oof_confusion,3,1,9,2.661435866142761,,,
4,oof_confusion,3,4,21,2.661435866142761,,,
4,oof_confusion,3,0,14,2.661435866142761,,,
4,oof_confusion,3,2,37,2.661435866142761,,,
4,oof_confusion,4,3,27,3.2151198866325936,,,
4,oof_confusion,4,0,8,3.2151198866325936,,,
4,oof_confusion,4,2,15,3.2151198866325936,,,
4,oof_confusion,4,1,5,3.2151198866325936,,,
4,branch_debug,0,1,80,1.995202220648327,20,0.2649918492931823,0
4,branch_debug,1,0,114,2.311878142699509,48,0.39174060205813355,0
4,branch_debug,2,3,85,3.072218223717507,42,0.8384031589334189,0
4,branch_debug,2,0,77,3.072218223717507,23,0.6591293662787696,1
4,branch_debug,3,2,103,2.661435866142761,37,0.4141494084910917,0
4,branch_debug,4,3,77,3.2151198866325936,27,0.7025820518932528,0
5,oof_confusion,0,1,21,1.874157719564614,,,
5,oof_confusion,0,4,6,1.874157719564614,,,
5,oof_confusion,0,2,11,1.874157719564614,,,
5,oof_confusion,0,3,12,1.874157719564614,,,
5,oof_confusion,1,0,43,2.236744941105334,,,
5,oof_confusion,1,3,17,2.236744941105334,,,
5,oof_confusion,1,2,21,2.236744941105334,,,
5,oof_confusion,1,4,6,2.236744941105334,,,
5,oof_confusion,2,4,22,2.9494122872608908,,,
5,oof_confusion,2,1,17,2.9494122872608908,,,
5,oof_confusion,2,3,35,2.9494122872608908,,,
5,oof_confusion,2,0,26,2.9494122872608908,,,
5,oof_confusion,3,2,34,2.506104902675104,,,
5,oof_confusion,3,4,15,2.506104902675104,,,
5,oof_confusion,3,1,8,2.506104902675104,,,
5,oof_confusion,3,0,14,2.506104902675104,,,
5,oof_confusion,4,2,19,2.9746127134503553,,,
5,oof_confusion,4,3,25,2.9746127134503553,,,
5,oof_confusion,4,0,7,2.9746127134503553,,,
5,oof_confusion,4,1,6,2.9746127134503553,,,
5,branch_debug,0,1,89,1.874157719564614,21,0.512499890703088,0
5,branch_debug,1,0,100,2.236744941105334,43,0.6161634865198654,0
5,branch_debug,1,2,81,2.236744941105334,21,0.9407591739821752,1
5,branch_debug,2,3,93,2.9494122872608908,35,0.9154445238909132,0
5,branch_debug,2,0,90,2.9494122872608908,26,0.8697830546868728,1
5,branch_debug,3,2,100,2.506104902675104,34,0.5881645903300851,0
5,branch_debug,4,3,71,2.9746127134503553,25,1.309120010370569,0
6,oof_confusion,0,4,3,1.7803521917896974,,,
6,oof_confusion,0,1,27,1.7803521917896974,,,
6,oof_confusion,0,2,8,1.7803521917896974,,,
6,oof_confusion,0,3,9,1.7803521917896974,,,
6,oof_confusion,1,2,19,1.9473578941520373,,,
6,oof_confusion,1,3,10,1.9473578941520373,,,
6,oof_confusion,1,0,39,1.9473578941520373,,,
6,oof_confusion,1,4,10,1.9473578941520373,,,
6,oof_confusion,2,4,21,2.7072629645547996,,,
6,oof_confusion,2,3,28,2.7072629645547996,,,
6,oof_confusion,2,1,20,2.7072629645547996,,,
6,oof_confusion,2,0,27,2.7072629645547996,,,
6,oof_confusion,3,1,7,2.2599465398739813,,,
6,oof_confusion,3,2,22,2.2599465398739813,,,
6,oof_confusion,3,4,19,2.2599465398739813,,,
6,oof_confusion,3,0,10,2.2599465398739813,,,
6,oof_confusion,4,2,18,2.765662474599182,,,
6,oof_confusion,4,3,25,2.765662474599182,,,
6,oof_confusion,4,1,3,2.765662474599182,,,
6,oof_confusion,4,0,6,2.765662474599182,,,
6,branch_debug,0,1,92,1.7803521917896974,27,0.38023614656956606,0
6,branch_debug,1,0,100,1.9473578941520373,39,0.7242175158200792,0
6,branch_debug,1,2,79,1.9473578941520373,19,0.9946055467748849,1
6,branch_debug,2,3,86,2.7072629645547996,28,1.2664102938473116,0
6,branch_debug,2,0,83,2.7072629645547996,27,1.1304582632119606,1
6,branch_debug,3,2,96,2.2599465398739813,22,0.9390321648566615,0
6,branch_debug,4,3,76,2.765662474599182,25,1.4013415726227207,0
7,oof_confusion,0,1,28,1.8689345290464492,,,
7,oof_confusion,0,2,19,1.8689345290464492,,,
7,oof_confusion,0,4,3,1.8689345290464492,,,
7,oof_confusion,0,3,7,1.8689345290464492,,,
7,oof_confusion,1,0,36,2.3039230952578897,,,
7,oof_confusion,1,2,20,2.3039230952578897,,,
7,oof_confusion,1,3,7,2.3039230952578897,,,
7,oof_confusion,1,4,9,2.3039230952578897,,,
7,oof_confusion,2,4,20,2.832443156173996,,,
7,oof_confusion,2,1,23,2.832443156173996,,,
7,oof_confusion,2,3,36,2.832443156173996,,,
7,oof_confusion,2,0,23,2.832443156173996,,,
7,oof_confusion,3,0,18,2.3778222488531,,,
7,oof_confusion,3,1,9,2.3778222488531,,,
7,oof_confusion,3,4,15,2.3778222488531,,,
7,oof_confusion,3,2,24,2.3778222488531,,,
7,oof_confusion,4,2,24,2.958819690144109,,,
7,oof_confusion,4,0,6,2.958819690144109,,,
7,oof_confusion,4,1,4,2.958819690144109,,,
7,oof_confusion,4,3,21,2.958819690144109,,,
7,branch_debug,0,1,93,1.8689345290464492,28,0.4207022660153079,0
7,branch_debug,1,0,94,2.3039230952578897,36,0.6473839503180563,0
7,branch_debug,1,2,76,2.3039230952578897,20,0.9132848505593558,1
7,branch_debug,2,3,92,2.832443156173996,36,0.9977503790233968,0
7,branch_debug,2,1,87,2.832443156173996,23,0.8728220347493605,1
7,branch_debug,3,2,95,2.3778222488531,24,0.6318651921121314,0
