split,class_label,other_class,is_anchor_class,other_is_anchor,center_l2_distance,min_principal_angle_deg,subspace_overlap_fro,pair_confusion,coupling_distance_angle,coupled_confusion_score
0,1,0,0,1,0.3909034508829833,12.468877545688738,3.68170373589018,68,2.579951119959809,4.556796783305637
0,1,2,0,0,0.49326280465154854,16.771205709218655,3.4144322896425945,43,1.5200773514939965,1.6977487302400478
0,1,3,0,0,0.6601364550941627,24.132456834443744,3.0738950820386575,31,0.7893563142216713,0.6355856036590081
0,1,4,0,1,0.742672754589566,27.615870501916,2.733224617581642,9,0.613129359554318,0.1433289411945159
0,2,0,0,1,0.5672881814527231,16.66321632403321,3.339372676596677,41,1.3302883073208709,1.4166706649391092
0,2,1,0,0,0.49326280465154854,16.771205709218655,3.4144322896425945,43,1.5200773514939965,1.6977487302400478
0,2,3,0,0,0.4417666160266419,22.583311185360344,3.453047524911909,67,1.2604564056941219,2.193521537181978
0,2,4,0,1,0.4284842358882584,24.24253731381565,3.19856656343593,41,1.2105853686682948,1.28919480819221
0,3,0,0,1,0.7493366307412734,23.295758315015046,3.0089876160829054,26,0.720368189660434,0.48648241379665674
0,3,1,0,0,0.6601364550941627,24.132456834443744,3.0738950820386575,31,0.7893563142216713,0.6355856036590081
0,3,2,0,0,0.4417666160266419,22.583311185360344,3.453047524911909,67,1.2604564056941219,2.193521537181978
0,3,4,0,1,0.4198904649687054,24.606441835936504,3.197624126397279,36,1.217092290544595,1.1380603236261146
0,4,0,1,1,0.8358179951138132,28.574026013299026,2.681097213794492,15,0.52653250735931,0.20514253533479612
0,4,1,1,0,0.742672754589566,27.615870501916,2.733224617581642,9,0.613129359554318,0.1433289411945159
0,4,2,1,0,0.4284842358882584,24.24253731381565,3.19856656343593,41,1.2105853686682948,1.28919480819221
0,4,3,1,0,0.4198904649687054,24.606441835936504,3.197624126397279,36,1.217092290544595,1.1380603236261146
0,0,1,1,0,0.3909034508829833,12.468877545688738,3.68170373589018,68,2.579951119959809,4.556796783305637
0,0,2,1,0,0.5672881814527231,16.66321632403321,3.339372676596677,41,1.3302883073208709,1.4166706649391092
0,0,3,1,0,0.7493366307412734,23.295758315015046,3.0089876160829054,26,0.720368189660434,0.48648241379665674
0,0,4,1,1,0.8358179951138132,28.574026013299026,2.681097213794492,15,0.52653250735931,0.20514253533479612
1,1,0,0,1,0.4530659305448587,15.650647246037677,2.685655737499238,47,1.7099307143585443,2.0346011031607993
1,1,2,0,0,0.465548830257064,18.37927424229918,2.5171229928939884,35,1.417028626670572,1.2555949856574689
1,1,3,0,1,0.6427117374320268,29.18117804558266,2.1470632727296537,21,0.6464771364947535,0.34369670547822334
1,1,4,0,0,0.6720975796497792,29.000859076092265,1.9311999934330686,11,0.6220553467798104,0.1732306029007067
1,2,0,0,1,0.5364513247704614,18.06934025156689,2.3813156947137832,44,1.250833787049436,1.393333838738612
1,2,1,0,0,0.465548830257064,18.37927424229918,2.5171229928939884,35,1.417028626670572,1.2555949856574689
1,2,3,0,1,0.4531996987831448,24.115073021520328,2.790442183085011,74,1.109414985539094,2.07839769442767
1,2,4,0,0,0.4431812466702441,24.28705146802857,2.535565825157566,53,1.1264607236047717,1.5114536291405798
1,4,0,0,1,0.8002357942017326,29.652497453891947,1.942171622096583,15,0.5109671392314442,0.19403815413852313
1,4,1,0,0,0.6720975796497792,29.000859076092265,1.9311999934330686,11,0.6220553467798104,0.1732306029007067
1,4,2,0,0,0.4431812466702441,24.28705146802857,2.535565825157566,53,1.1264607236047717,1.5114536291405798
1,4,3,0,1,0.390399272379783,23.622822301438656,2.563108927758194,60,1.3147144585240342,1.9970346205428369
1,0,1,1,0,0.4530659305448587,15.650647246037677,2.685655737499238,47,1.7099307143585443,2.0346011031607993
1,0,2,1,0,0.5364513247704614,18.06934025156689,2.3813156947137832,44,1.250833787049436,1.393333838738612
1,0,3,1,1,0.769072015925264,26.05487821630309,2.264967498673202,16,0.6050846909219237,0.24509759632280456
1,0,4,1,0,0.8002357942017326,29.652497453891947,1.942171622096583,15,0.5109671392314442,0.19403815413852313
1,3,0,1,1,0.769072015925264,26.05487821630309,2.264967498673202,16,0.6050846909219237,0.24509759632280456
1,3,1,1,0,0.6427117374320268,29.18117804558266,2.1470632727296537,21,0.6464771364947535,0.34369670547822334
1,3,2,1,0,0.4531996987831448,24.115073021520328,2.790442183085011,74,1.109414985539094,2.07839769442767
1,3,4,1,0,0.390399272379783,23.622822301438656,2.563108927758194,60,1.3147144585240342,1.9970346205428369
2,1,0,0,1,0.44701888294192405,12.34356061258433,3.779401717948617,72,2.3890633676751634,6.255002271731337
2,1,2,0,0,0.5234157042813242,16.394714728767312,3.319094976334735,43,1.536184500690722,2.4020339465345835
2,1,3,0,1,0.6719268909135659,25.198758701987266,2.981706072872292,17,0.7785613173447593,0.4812924507222148
2,1,4,0,0,0.6965342175462932,26.03889588723661,2.8119444030392335,14,0.7268235168722997,0.37001924495317073
2,2,0,0,1,0.595628381518703,17.15800805907177,3.2023997832014364,25,1.2898872234953587,1.1726247486321442
2,2,1,0,0,0.5234157042813242,16.394714728767312,3.319094976334735,43,1.536184500690722,2.4020339465345835
2,2,3,0,1,0.4474082686297373,23.936912769514603,3.489803042147021,65,1.230897384407278,2.9093938176899297
2,2,4,0,0,0.4072243474201453,23.18325055573962,3.280907258204277,30,1.3963231139446801,1.5232615788487418
2,4,0,0,1,0.8180169315143883,25.579924777302885,2.6928605159070926,14,0.629988230752057,0.3207212811101381
2,4,1,0,0,0.6965342175462932,26.03889588723661,2.8119444030392335,14,0.7268235168722997,0.37001924495317073
2,4,2,0,0,0.4072243474201453,23.18325055573962,3.280907258204277,30,1.3963231139446801,1.5232615788487418
2,4,3,0,1,0.3992154065765302,22.796686338211387,3.27882653424367,40,1.4484882447511127,2.106891992365255
2,0,1,1,0,0.44701888294192405,12.34356061258433,3.779401717948617,72,2.3890633676751634,6.255002271731337
2,0,2,1,0,0.595628381518703,17.15800805907177,3.2023997832014364,25,1.2898872234953587,1.1726247486321442
2,0,3,1,1,0.7890395716470335,27.281238739484234,3.0127621358910557,22,0.6123942744267713,0.48991541954141704
2,0,4,1,0,0.8180169315143883,25.579924777302885,2.6928605159070926,14,0.629988230752057,0.3207212811101381
2,3,0,1,1,0.7890395716470335,27.281238739484234,3.0127621358910557,22,0.6123942744267713,0.48991541954141704
2,3,1,1,0,0.6719268909135659,25.198758701987266,2.981706072872292,17,0.7785613173447593,0.4812924507222148
2,3,2,1,0,0.4474082686297373,23.936912769514603,3.489803042147021,65,1.230897384407278,2.9093938176899297
2,3,4,1,0,0.3992154065765302,22.796686338211387,3.27882653424367,40,1.4484882447511127,2.106891992365255
3,1,0,0,1,0.4165790410381496,12.286248437765959,3.7014277046374207,66,2.535966978843773,5.149963710882738
3,1,2,0,0,0.5220730808872339,17.75689922272845,3.3156715263721,36,1.4001090808649508,1.5508900588042533
3,1,3,0,1,0.6620418326465363,26.136448328281034,2.819871968253079,18,0.7501157764306805,0.4154487377154538
3,1,4,0,0,0.7112385981668834,27.440606487243482,2.671093622058108,10,0.6650453785356711,0.20462934724174497
3,2,0,0,1,0.577531562247805,17.03234168849365,3.3324890840118164,43,1.319502503386355,1.745803312172716
3,2,1,0,0,0.5220730808872339,17.75689922272845,3.3156715263721,36,1.4001090808649508,1.5508900588042533
3,2,3,0,1,0.4195909722020449,23.11689470631724,3.467398164359656,74,1.3381496124943262,3.0468637330640043
3,2,4,0,0,0.3797755925435567,22.680334264398898,3.2238326953724283,29,1.506897811161434,1.3446165084209718
3,4,0,0,1,0.790461191167624,26.985097546263603,2.7850845262408757,16,0.6084932405298524,0.29956590303008124
3,4,1,0,0,0.7112385981668834,27.440606487243482,2.671093622058108,10,0.6650453785356711,0.20462934724174497
3,4,2,0,0,0.3797755925435567,22.680334264398898,3.2238326953724283,29,1.506897811161434,1.3446165084209718
3,4,3,0,1,0.41975785959909356,24.098511383801014,3.1977378731567145,39,1.2831317466204306,1.5397580959445167
3,0,1,1,0,0.4165790410381496,12.286248437765959,3.7014277046374207,66,2.535966978843773,5.149963710882738
3,0,2,1,0,0.577531562247805,17.03234168849365,3.3324890840118164,43,1.319502503386355,1.745803312172716
3,0,3,1,1,0.7343944889306993,24.83367842477041,3.022874273327579,22,0.7116883239002606,0.48175825002479183
3,0,4,1,0,0.790461191167624,26.985097546263603,2.7850845262408757,16,0.6084932405298524,0.29956590303008124
3,3,0,1,1,0.7343944889306993,24.83367842477041,3.022874273327579,22,0.7116883239002606,0.48175825002479183
3,3,1,1,0,0.6620418326465363,26.136448328281034,2.819871968253079,18,0.7501157764306805,0.4154487377154538
3,3,2,1,0,0.4195909722020449,23.11689470631724,3.467398164359656,74,1.3381496124943262,3.0468637330640043
3,3,4,1,0,0.41975785959909356,24.098511383801014,3.1977378731567145,39,1.2831317466204306,1.5397580959445167
4,1,0,0,1,0.4364841328906597,14.401277058330173,2.8007518433401435,68,2.2248012745500687,5.042882888980156
4,1,2,0,0,0.48119112080149085,17.780221445832225,2.6189346213082283,34,1.6345790205659625,1.8525228899747574
4,1,3,0,0,0.630590177514933,26.75860092110654,2.2871956315455657,25,0.8288006575741139,0.690667214645095
4,1,4,0,1,0.6777440879326864,33.365759018800446,2.1251328542200625,17,0.6184348350375714,0.35044640652129044
4,2,0,0,1,0.6021536478731033,17.333615363930544,2.316013997652321,33,1.339874784754989,1.473862263230488
4,2,1,0,0,0.48119112080149085,17.780221445832225,2.6189346213082283,34,1.6345790205659625,1.8525228899747574
4,2,3,0,0,0.4265748734822913,25.63367219249706,2.648411720194886,79,1.2789530273872853,3.367909638786518
4,2,4,0,1,0.40986177144795444,25.027765412755045,2.445471402188662,27,1.3633306631107212,1.2269975967996491
4,3,0,0,1,0.779292673015435,27.91712895743275,2.208210949799443,22,0.6428199481170813,0.4714012952858596
