dataset,variant,n,val_mean,val_std,test_mean,test_std
cornell,hasdc_channel_select,5,0.7152542471885681,0.0627347616336118,0.7513513565063477,0.03523894063051592
cornell,hasdc_merged,5,0.7084745764732361,0.06821902807488242,0.7513513565063477,0.03523894063051592
cornell,raw_dynamic_layer3,5,0.6745762586593628,0.04999282145878415,0.6972972989082337,0.05198753223775111
cornell,raw_plain_residual,5,0.7152542471885681,0.0627347616336118,0.7513513565063477,0.03523894063051592
cornell,smooth_dynamic_layer3,5,0.6,0.06737154701958416,0.6216216206550598,0.04273347527167501
cornell,smooth_plain_residual,5,0.6576271295547486,0.06926376942213994,0.6972972989082337,0.07499694924249
texas,hasdc_channel_select,5,0.8372881412506104,0.047336415953117286,0.8162162184715271,0.051987515194912154
texas,hasdc_merged,5,0.8305084824562072,0.05871359325900511,0.8054054141044616,0.04834740523842881
texas,raw_dynamic_layer3,5,0.796610164642334,0.06779661029577409,0.7837837934494019,0.08108107248942174
texas,raw_plain_residual,5,0.8338983058929443,0.04387179876901667,0.8108108043670654,0.06043427362453744
texas,smooth_dynamic_layer3,5,0.7661017060279847,0.054131265328483516,0.7405405521392823,0.06783728751100002
texas,smooth_plain_residual,5,0.7661016941070556,0.045479349334961526,0.7567567467689514,0.07879665137174022
wisconsin,hasdc_channel_select,5,0.8125000119209289,0.04238957030393758,0.843137264251709,0.02772967604077251
wisconsin,hasdc_merged,5,0.8100000023841858,0.06212386592025845,0.8392156958580017,0.04250878842447234
wisconsin,raw_dynamic_layer3,5,0.7500000119209289,0.029315095957346934,0.7568627595901489,0.02235637955175268
wisconsin,raw_plain_residual,5,0.8125000119209289,0.04238957030393758,0.843137264251709,0.02772967604077251
wisconsin,smooth_dynamic_layer3,5,0.7074999928474426,0.040117026368650006,0.6901960968971252,0.04681308107761815
wisconsin,smooth_plain_residual,5,0.7425000190734863,0.05491470374203667,0.7450980544090271,0.05882352590560913
