dataset,method,n,val_mean,val_std,test_mean,test_std
actor,v6_HASDC_fixed_base_layer3_fast,5,0.3319078862667083,0.005968549853675028,0.32394736409187314,0.0071707510732272215
chameleon,v6_HASDC_fixed_base_layer3_fast,5,0.4603566527366638,0.04497138627579051,0.4688596487045288,0.018308444851849588
wisconsin,v6_HASDC_fixed_base_layer3_fast,5,0.7674999952316284,0.038119887259317836,0.7568627595901489,0.09049396134507515
