dataset,repeat,split_id,seed,alpha_mode,gamma,lambda_smooth,d_s,d_r,tau_gate,val_acc,test_acc,fit_time,alpha_nonzero,alpha_abs_sum,overlap_abs_sum,overlap_max
chameleon,0,0,0,zero,0.0,0.1,8,8,5.0,0.30452674627304077,0.32236841320991516,4.002,0,0.0,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,zero,100.0,0.1,8,8,5.0,0.30452674627304077,0.32236841320991516,4.002,0,0.0,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,zero,1000.0,0.1,8,8,5.0,0.30452674627304077,0.32236841320991516,4.002,0,0.0,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,zero,10000.0,0.1,8,8,5.0,0.30452674627304077,0.32236841320991516,4.002,0,0.0,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,learned,0.0,0.1,8,8,5.0,0.30452674627304077,0.32236841320991516,4.002,0,0.0,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,learned,100.0,0.1,8,8,5.0,0.30452674627304077,0.32236841320991516,4.002,0,0.0,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,learned,1000.0,0.1,8,8,5.0,0.30452674627304077,0.32236841320991516,4.002,0,0.0,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,learned,10000.0,0.1,8,8,5.0,0.30452674627304077,0.32236841320991516,4.002,0,0.0,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,force_pos,0.0,0.1,8,8,5.0,0.30452674627304077,0.32236841320991516,4.002,20,0.9641348822604761,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,force_pos,100.0,0.1,8,8,5.0,0.28257888555526733,0.27412280440330505,4.002,20,0.9641348822604761,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,force_pos,1000.0,0.1,8,8,5.0,0.20987653732299805,0.2017543911933899,4.002,20,0.9641348822604761,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,force_pos,10000.0,0.1,8,8,5.0,0.201646089553833,0.19078947603702545,4.002,20,0.9641348822604761,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,force_neg,0.0,0.1,8,8,5.0,0.30452674627304077,0.32236841320991516,4.002,20,0.9641348822604761,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,force_neg,100.0,0.1,8,8,5.0,0.30315500497817993,0.3114035129547119,4.002,20,0.9641348822604761,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,force_neg,1000.0,0.1,8,8,5.0,0.27572017908096313,0.2631579041481018,4.002,20,0.9641348822604761,0.9641348822604761,0.19954776846201916
chameleon,0,0,0,force_neg,10000.0,0.1,8,8,5.0,0.2606309950351715,0.23464912176132202,4.002,20,0.9641348822604761,0.9641348822604761,0.19954776846201916
chameleon,1,1,1,zero,0.0,0.1,8,8,5.0,0.340192049741745,0.31578946113586426,3.694,0,0.0,0.531430138369736,0.18102771220503833
chameleon,1,1,1,zero,100.0,0.1,8,8,5.0,0.340192049741745,0.31578946113586426,3.694,0,0.0,0.531430138369736,0.18102771220503833
chameleon,1,1,1,zero,1000.0,0.1,8,8,5.0,0.340192049741745,0.31578946113586426,3.694,0,0.0,0.531430138369736,0.18102771220503833
chameleon,1,1,1,zero,10000.0,0.1,8,8,5.0,0.340192049741745,0.31578946113586426,3.694,0,0.0,0.531430138369736,0.18102771220503833
chameleon,1,1,1,learned,0.0,0.1,8,8,5.0,0.340192049741745,0.31578946113586426,3.694,0,0.0,0.531430138369736,0.18102771220503833
chameleon,1,1,1,learned,100.0,0.1,8,8,5.0,0.340192049741745,0.31578946113586426,3.694,0,0.0,0.531430138369736,0.18102771220503833
chameleon,1,1,1,learned,1000.0,0.1,8,8,5.0,0.340192049741745,0.31578946113586426,3.694,0,0.0,0.531430138369736,0.18102771220503833
chameleon,1,1,1,learned,10000.0,0.1,8,8,5.0,0.340192049741745,0.31578946113586426,3.694,0,0.0,0.531430138369736,0.18102771220503833
chameleon,1,1,1,force_pos,0.0,0.1,8,8,5.0,0.340192049741745,0.31578946113586426,3.694,20,0.531430138369736,0.531430138369736,0.18102771220503833
chameleon,1,1,1,force_pos,100.0,0.1,8,8,5.0,0.3374485671520233,0.3464912176132202,3.694,20,0.531430138369736,0.531430138369736,0.18102771220503833
chameleon,1,1,1,force_pos,1000.0,0.1,8,8,5.0,0.21262003481388092,0.21271929144859314,3.694,20,0.531430138369736,0.531430138369736,0.18102771220503833
chameleon,1,1,1,force_pos,10000.0,0.1,8,8,5.0,0.201646089553833,0.19736842811107635,3.694,20,0.531430138369736,0.531430138369736,0.18102771220503833
chameleon,1,1,1,force_neg,0.0,0.1,8,8,5.0,0.340192049741745,0.31578946113586426,3.694,20,0.531430138369736,0.531430138369736,0.18102771220503833
chameleon,1,1,1,force_neg,100.0,0.1,8,8,5.0,0.32373112440109253,0.3070175349712372,3.694,20,0.531430138369736,0.531430138369736,0.18102771220503833
chameleon,1,1,1,force_neg,1000.0,0.1,8,8,5.0,0.29629629850387573,0.265350878238678,3.694,20,0.531430138369736,0.531430138369736,0.18102771220503833
chameleon,1,1,1,force_neg,10000.0,0.1,8,8,5.0,0.30041152238845825,0.2697368562221527,3.694,20,0.531430138369736,0.531430138369736,0.18102771220503833
chameleon,2,2,2,zero,0.0,0.1,8,8,5.0,0.2949245572090149,0.3530701696872711,4.663,0,0.0,0.888466076984635,0.18190784671184088
chameleon,2,2,2,zero,100.0,0.1,8,8,5.0,0.2949245572090149,0.3530701696872711,4.663,0,0.0,0.888466076984635,0.18190784671184088
chameleon,2,2,2,zero,1000.0,0.1,8,8,5.0,0.2949245572090149,0.3530701696872711,4.663,0,0.0,0.888466076984635,0.18190784671184088
chameleon,2,2,2,zero,10000.0,0.1,8,8,5.0,0.2949245572090149,0.3530701696872711,4.663,0,0.0,0.888466076984635,0.18190784671184088
chameleon,2,2,2,learned,0.0,0.1,8,8,5.0,0.2949245572090149,0.3530701696872711,4.663,0,0.0,0.888466076984635,0.18190784671184088
chameleon,2,2,2,learned,100.0,0.1,8,8,5.0,0.2949245572090149,0.3530701696872711,4.663,0,0.0,0.888466076984635,0.18190784671184088
chameleon,2,2,2,learned,1000.0,0.1,8,8,5.0,0.2949245572090149,0.3530701696872711,4.663,0,0.0,0.888466076984635,0.18190784671184088
chameleon,2,2,2,learned,10000.0,0.1,8,8,5.0,0.2949245572090149,0.3530701696872711,4.663,0,0.0,0.888466076984635,0.18190784671184088
chameleon,2,2,2,force_pos,0.0,0.1,8,8,5.0,0.2949245572090149,0.3530701696872711,4.663,20,0.888466076984635,0.888466076984635,0.18190784671184088
chameleon,2,2,2,force_pos,100.0,0.1,8,8,5.0,0.26611796021461487,0.32894736528396606,4.663,20,0.888466076984635,0.888466076984635,0.18190784671184088
chameleon,2,2,2,force_pos,1000.0,0.1,8,8,5.0,0.19890260696411133,0.18859648704528809,4.663,20,0.888466076984635,0.888466076984635,0.18190784671184088
chameleon,2,2,2,force_pos,10000.0,0.1,8,8,5.0,0.1769547313451767,0.18201754987239838,4.663,20,0.888466076984635,0.888466076984635,0.18190784671184088
chameleon,2,2,2,force_neg,0.0,0.1,8,8,5.0,0.2949245572090149,0.3530701696872711,4.663,20,0.888466076984635,0.888466076984635,0.18190784671184088
chameleon,2,2,2,force_neg,100.0,0.1,8,8,5.0,0.28943759202957153,0.35087719559669495,4.663,20,0.888466076984635,0.888466076984635,0.18190784671184088
chameleon,2,2,2,force_neg,1000.0,0.1,8,8,5.0,0.2633744776248932,0.3245614171028137,4.663,20,0.888466076984635,0.888466076984635,0.18190784671184088
chameleon,2,2,2,force_neg,10000.0,0.1,8,8,5.0,0.201646089553833,0.25438597798347473,4.663,20,0.888466076984635,0.888466076984635,0.18190784671184088
wisconsin,0,0,0,zero,0.0,0.0,8,8,5.0,0.8500000238418579,0.8039215803146362,0.223,0,0.0,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,zero,100.0,0.0,8,8,5.0,0.8500000238418579,0.8039215803146362,0.223,0,0.0,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,zero,1000.0,0.0,8,8,5.0,0.8500000238418579,0.8039215803146362,0.223,0,0.0,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,zero,10000.0,0.0,8,8,5.0,0.8500000238418579,0.8039215803146362,0.223,0,0.0,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,learned,0.0,0.0,8,8,5.0,0.8500000238418579,0.8039215803146362,0.223,0,0.0,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,learned,100.0,0.0,8,8,5.0,0.8500000238418579,0.8039215803146362,0.223,0,0.0,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,learned,1000.0,0.0,8,8,5.0,0.8500000238418579,0.8039215803146362,0.223,0,0.0,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,learned,10000.0,0.0,8,8,5.0,0.8500000238418579,0.8039215803146362,0.223,0,0.0,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,force_pos,0.0,0.0,8,8,5.0,0.8500000238418579,0.8039215803146362,0.223,20,1.645482180446065,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,force_pos,100.0,0.0,8,8,5.0,0.574999988079071,0.529411792755127,0.223,20,1.645482180446065,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,force_pos,1000.0,0.0,8,8,5.0,0.3499999940395355,0.3529411852359772,0.223,20,1.645482180446065,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,force_pos,10000.0,0.0,8,8,5.0,0.3375000059604645,0.3529411852359772,0.223,20,1.645482180446065,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,force_neg,0.0,0.0,8,8,5.0,0.8500000238418579,0.8039215803146362,0.223,20,1.645482180446065,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,force_neg,100.0,0.0,8,8,5.0,0.5874999761581421,0.5686274766921997,0.223,20,1.645482180446065,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,force_neg,1000.0,0.0,8,8,5.0,0.20000000298023224,0.1764705926179886,0.223,20,1.645482180446065,1.645482180446065,0.16671777789716533
wisconsin,0,0,0,force_neg,10000.0,0.0,8,8,5.0,0.11249999701976776,0.1568627506494522,0.223,20,1.645482180446065,1.645482180446065,0.16671777789716533
wisconsin,1,1,1,zero,0.0,0.0,8,8,5.0,0.7875000238418579,0.8627451062202454,0.227,0,0.0,0.8260401899053489,0.09821948951570032
wisconsin,1,1,1,zero,100.0,0.0,8,8,5.0,0.7875000238418579,0.8627451062202454,0.227,0,0.0,0.8260401899053489,0.09821948951570032
wisconsin,1,1,1,zero,1000.0,0.0,8,8,5.0,0.7875000238418579,0.8627451062202454,0.227,0,0.0,0.8260401899053489,0.09821948951570032
wisconsin,1,1,1,zero,10000.0,0.0,8,8,5.0,0.7875000238418579,0.8627451062202454,0.227,0,0.0,0.8260401899053489,0.09821948951570032
wisconsin,1,1,1,learned,0.0,0.0,8,8,5.0,0.7875000238418579,0.8627451062202454,0.227,0,0.0,0.8260401899053489,0.09821948951570032
wisconsin,1,1,1,learned,100.0,0.0,8,8,5.0,0.7875000238418579,0.8627451062202454,0.227,0,0.0,0.8260401899053489,0.09821948951570032
