stage,objective,val_acc,val_bal_acc,val_fp,test_acc_at_selection_time,top_k,dim,energy,alphas_json,w,round,split,beam_rank,fixed_val_vs_round1,broken_val_vs_round1,fixed_test_vs_round1,broken_test_vs_round1,temperature,topk_r2,w2,alphas_r2_json
round1_scan,0.8138912544059417,0.710562414266118,0.7082016791286454,0.07253529323682885,0.6885964912280702,4000,48,0.9,"[0.01, 0.1, 1.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8090923870631443,0.7064471879286695,0.7039410179859618,0.07364883908548168,0.6885964912280702,4000,48,0.9,"[0.01, 0.1, 1.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8092448058248116,0.7064471879286695,0.7049429996059209,0.07359580111864657,0.6864035087719298,4000,48,0.9,"[0.01, 0.1, 1.0]",0.5,1,0,,,,,,,,,
round1_scan,0.806104726143945,0.7037037037037037,0.7024680527489517,0.07422963680253707,0.6885964912280702,4000,48,0.9,"[0.01, 0.1, 1.0]",0.6,1,0,,,,,,,,,
round1_scan,0.7998514617171767,0.6982167352537723,0.6977423730232719,0.07566573725215783,0.6885964912280702,4000,48,0.9,"[0.01, 0.1, 1.0]",0.7,1,0,,,,,,,,,
round1_scan,0.8139552910094611,0.710562414266118,0.7086099407728621,0.07246535931465391,0.6885964912280702,4000,48,0.9,"[0.05, 0.5, 5.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8107416467977896,0.7078189300411523,0.705679482224426,0.07323013942566468,0.6885964912280702,4000,48,0.9,"[0.05, 0.5, 5.0]",0.4,1,0,,,,,,,,,
round1_scan,0.8061948762169264,0.7037037037037037,0.7030617727246942,0.07420233488703665,0.6864035087719298,4000,48,0.9,"[0.05, 0.5, 5.0]",0.5,1,0,,,,,,,,,
round1_scan,0.7935384518191018,0.6927297668038409,0.6925823303632292,0.07696661348058798,0.6864035087719298,4000,48,0.9,"[0.05, 0.5, 5.0]",0.6,1,0,,,,,,,,,
round1_scan,0.7919492529755872,0.691358024691358,0.6912309790118779,0.07733546418881394,0.6907894736842105,4000,48,0.9,"[0.05, 0.5, 5.0]",0.7,1,0,,,,,,,,,
round1_scan,0.7995980902314082,0.6982167352537723,0.6960310225759663,0.07558246021897608,0.6842105263157895,4000,48,0.9,"[0.1, 1.0, 10.0]",0.3,1,0,,,,,,,,,
round1_scan,0.7995987224384686,0.6982167352537723,0.6960310225759664,0.07556665504246254,0.6885964912280702,4000,48,0.9,"[0.1, 1.0, 10.0]",0.4,1,0,,,,,,,,,
round1_scan,0.7947779580179232,0.6941015089163237,0.6916074625344288,0.07661675696411965,0.6842105263157895,4000,48,0.9,"[0.1, 1.0, 10.0]",0.5,1,0,,,,,,,,,
round1_scan,0.7916207146250799,0.691358024691358,0.6890380155829594,0.07732531009305121,0.6864035087719298,4000,48,0.9,"[0.1, 1.0, 10.0]",0.6,1,0,,,,,,,,,
round1_scan,0.7932715454865071,0.6927297668038409,0.6908237298686737,0.07704451994087312,0.6842105263157895,4000,48,0.9,"[0.1, 1.0, 10.0]",0.7,1,0,,,,,,,,,
round1_scan,0.81069145621747,0.7078189300411523,0.7053396193845632,0.0732104182841697,0.6842105263157895,4000,48,0.95,"[0.01, 0.1, 1.0]",0.3,1,0,,,,,,,,,
round1_scan,0.8107230818372502,0.7078189300411523,0.7055673752302966,0.07327386221116544,0.6885964912280702,4000,48,0.95,"[0.01, 0.1, 1.0]",0.4,1,0,,,,,,,,,
round1_scan,0.810788922190194,0.7078189300411523,0.7060017381646595,0.07325671439142775,0.6907894736842105,4000,48,0.95,"[0.01, 0.1, 1.0]",0.5,1,0,,,,,,,,,
