split,val,test,top_k,dim,energy,w
0,0.739369,0.725877,8000,96,0.95,0.6
1,0.705075,0.763158,8000,64,0.9,0.6
2,0.739369,0.703947,8000,96,0.99,0.5
3,0.750343,0.710526,4000,64,0.95,0.6
4,0.751715,0.743421,6000,48,0.9,0.5
5,0.732510,0.734649,5000,64,0.9,0.8
6,0.710562,0.706140,8000,96,0.95,0.7
7,0.679012,0.712719,8000,96,0.99,0.6
8,0.733882,0.719298,8000,64,0.9,0.3
9,0.737997,0.728070,8000,32,0.9,0.6


