dataset,wrong_minus_correct_highpass_pp,highpass_correct_percent,highpass_wrong_percent
Amazon-Computers,1.4358001488084082,14.595739922428693,16.031540071237103
Amazon-Photo,2.4173724218093744,14.408546108179138,16.825918529988513
Chameleon,-13.103545758051489,41.39350465071544,28.289958892663957
Cornell,-1.6484247735863267,37.37040636429626,35.72198159070993
Texas,-1.0515858550349866,40.515419517737975,39.46383366270299
Wisconsin,0.4372041786306513,33.34170905997454,33.77891323860519
