split,best_dim,class_i,class_j,branch_i_index,branch_j_index,center_l2_distance,center_sq_distance,subspace_overlap_fro,mean_cos2_principal,min_principal_angle_deg,max_principal_angle_deg,principal_cosines_json
0,64,0,1,0,0,0.3909034508829833,0.15280550791222494,3.68170373589018,0.211795974982308,12.468877545688738,89.95041251108401,"[0.9764134307660124, 0.9327312644767334, 0.9034168900065639, 0.88808304589996, 0.8394899037859216, 0.8071392872714097, 0.7771786143375455, 0.7426168910176795, 0.7059319674249958, 0.6902758117554922, 0.6649490782437951, 0.6352532365555895, 0.6282827805784943, 0.615084936816983, 0.5960561346030373, 0.5883637747046045, 0.5611073607918188, 0.5453123346407164, 0.5382442020236025, 0.525602108299992, 0.5085240754587423, 0.5009162441972503, 0.48800803541663024, 0.47924943641848505, 0.46242537091805774, 0.44089848747768423, 0.42130100879600846, 0.41430204044156616, 0.40706476350457493, 0.3860849988575358, 0.36443244619215875, 0.349772530250321, 0.31900054365306996, 0.28650387744347094, 0.2808310602083879, 0.26700027780391566, 0.25255527794013005, 0.25104257413383724, 0.23201956742848534, 0.22428886832176384, 0.2059960976009388, 0.19268563471804004, 0.186024825042978, 0.15655786624140822, 0.14192403721976082, 0.1344667888231841, 0.12836186147215423, 0.1210119359855155, 0.11836471706265671, 0.09990502101352722, 0.09295576732264522, 0.08585114360499872, 0.07959483781280684, 0.07292111281161497, 0.058236805417397446, 0.055503738154749314, 0.04513808701762103, 0.04305709957265668, 0.03657472201938495, 0.020623509700232693, 0.016011936243348682, 0.011139510690256834, 0.00576344870991433, 0.0008654648413372403]"
0,64,0,2,0,0,0.5672881814527231,0.3218158808159377,3.339372676596677,0.17424077926875706,16.66321632403321,89.90013000469692,"[0.9580067818230156, 0.8906656614296655, 0.8617081522989831, 0.7821956359401611, 0.7610006821250977, 0.7439362684720866, 0.7388045537272016, 0.7193871740251307, 0.6712618624593506, 0.654206233011208, 0.6454565124607549, 0.6093336830422933, 0.6067987338567931, 0.5813545495487865, 0.5520343244244477, 0.5499115588149756, 0.5362499028630132, 0.4998637438806877, 0.48100573580894934, 0.46165185803067005, 0.43787769711023145, 0.4277007616245874, 0.3953568299134761, 0.38641738871479847, 0.37376165841118203, 0.35809336793920016, 0.34413907104559444, 0.31724817606364475, 0.30344009791554233, 0.27758585993465085, 0.2685669474447281, 0.24357913544420182, 0.2415711291821534, 0.22812219396534086, 0.2094069071031012, 0.20536101984728175, 0.1853594306300824, 0.17712143694071597, 0.16306347858665696, 0.15319623790679787, 0.14973749379687495, 0.13570249591138311, 0.12447756690846468, 0.11937375439359312, 0.11794156292882596, 0.10715558307857101, 0.09980873440129286, 0.09128973664844381, 0.07677591195225618, 0.07426335036501473, 0.07045141204770751, 0.068194607505912, 0.057106195478478734, 0.05429100615550917, 0.04697076284832043, 0.03603504104411528, 0.03315985593991097, 0.030506627276777765, 0.02273298348539259, 0.019111376233534188, 0.013348568551179782, 0.011619352102549635, 0.003751334732268441, 0.0017430593593456719]"
0,64,0,3,0,0,0.7493366307412734,0.5615053861706838,3.0089876160829054,0.14146885115219193,23.295758315015046,89.76010058668058,"[0.9184756616012071, 0.830125430037461, 0.8080778829035803, 0.7715201556859133, 0.7569253397333047, 0.7345197970259094, 0.6992383870795278, 0.6712186121001767, 0.6533375825084474, 0.6346361340671858, 0.5793853837209518, 0.5516963156997636, 0.5315407409225462, 0.5126336824496965, 0.4967610546340786, 0.43861777953416736, 0.42900444334042537, 0.3969783169467595, 0.3830251896933842, 0.3520822971763073, 0.3310961786407508, 0.30898015176340327, 0.3022603175267115, 0.2904661581365004, 0.2711263966127174, 0.25711768082326936, 0.2486502600967825, 0.24144720789820687, 0.23510985245841245, 0.22061005225560443, 0.20975771550928077, 0.19672205677847732, 0.18956555630315414, 0.1824250053555573, 0.17034950211404754, 0.16388057645336568, 0.15767339140509973, 0.1500141130730249, 0.14001866075111757, 0.13288377768043388, 0.1237977618957758, 0.12233983562552403, 0.11080737738704823, 0.1071996646040458, 0.10177974506745963, 0.09581579845746747, 0.08901580911791601, 0.08033154291118738, 0.07678109876920879, 0.07479353973062187, 0.06786004693193942, 0.05588272272180526, 0.05201564833275064, 0.04667999887402422, 0.03919800394195734, 0.03913574310599327, 0.03128902924507045, 0.022403240810132723, 0.021048796716158592, 0.019222224299558253, 0.014559754959435216, 0.006488220260555397, 0.006083195465182424, 0.004187022402039362]"
0,64,0,4,0,0,0.8358179951138132,0.6985917209560744,2.681097213794492,0.11231691046588421,28.574026013299026,89.97242870660081,"[0.8781998913436434, 0.771562400731221, 0.7020821715604045, 0.6829043462317325, 0.6599929409715941, 0.631534493790674, 0.5960385835399935, 0.5856487786533916, 0.5749237376379339, 0.5090895742039888, 0.4741183436470868, 0.4739071990244875, 0.44888484907811044, 0.43899440552957847, 0.4305009080428465, 0.38861470426821304, 0.38575723216323526, 0.3667590012014399, 0.3432022914872807, 0.32768404503214216, 0.30653553972928954, 0.30002518617854895, 0.28595490567515547, 0.2775676483698113, 0.26810590981631705, 0.2522046782704808, 0.24385224723100676, 0.2310600116263625, 0.22161431875004753, 0.20984315306383117, 0.20472619538304013, 0.19062306693334063, 0.18415599399265248, 0.1760435813947454, 0.16414731824666295, 0.1630897905865831, 0.14846468476104352, 0.14522964549016135, 0.12813980824504664, 0.12110964918630462, 0.1190286234198363, 0.11039741550837594, 0.1049213108237238, 0.10231179756410252, 0.09052355132852606, 0.0863202114210921, 0.08188323983045154, 0.07438314242692197, 0.06643646957464544, 0.06254584073389473, 0.053552362599163725, 0.047952650453175594, 0.044601350596439424, 0.0401446355556175, 0.03489852124042314, 0.029797315238518664, 0.0241096320186576, 0.02240291495229432, 0.01537497108356739, 0.010099013564487445, 0.008433234983829125, 0.0062797945117447065, 0.0021478936828394227, 0.00048120983027765465]"
0,64,1,2,0,0,0.49326280465154854,0.24330819445271168,3.4144322896425945,0.18216168532115584,16.771205709218655,89.95507102093451,"[0.9574646310615449, 0.8646669962319009, 0.8423869855742392, 0.7975509506555094, 0.7832052953217337, 0.7541369927044373, 0.7437223940020583, 0.7268600881322764, 0.6950804971542299, 0.6812936729475392, 0.6666815787190536, 0.6369942606918778, 0.6047762931289314, 0.5857754401079093, 0.5534768196734982, 0.5399253818927341, 0.5267829199965758, 0.5100785716157848, 0.5031571702384358, 0.4821362259224265, 0.45218348573662337, 0.42872098510740597, 0.41374044933568677, 0.3975189271857931, 0.3950128704362929, 0.3675650178703945, 0.35627409384616, 0.3480230854241286, 0.32070138559724903, 0.3053034823407475, 0.2975579578800256, 0.28118690488760717, 0.2744667856818382, 0.2645921864700615, 0.25385305639596534, 0.23597018240611242, 0.22944447518729222, 0.212357653766063, 0.19413834210871136, 0.18694411761763743, 0.17336158736237087, 0.1578968125577286, 0.15458617619825646, 0.14752192325502794, 0.13876349115979122, 0.12608702305276456, 0.1111965721018466, 0.10180993011399017, 0.09753000515860413, 0.08712865938494421, 0.07318136719073894, 0.06680034670261231, 0.06229486836063446, 0.056096846572533846, 0.051359903905280876, 0.049503267450534724, 0.03899158761679547, 0.027583684415952794, 0.022391489753966605, 0.019154009961672346, 0.01144052398861529, 0.008252823474389796, 0.0040974607429467656, 0.0007841585338886609]"
0,64,1,3,0,0,0.6601364550941627,0.4357801393442875,3.0738950820386575,0.14763798399033512,24.132456834443744,89.8933975785116,"[0.9126027203039953, 0.8316926128393841, 0.8063688611968823, 0.7236408981229967, 0.7078974854363869, 0.6830803900078234, 0.6705729644920821, 0.6456744336332161, 0.6399130250576694, 0.621987142522083, 0.5899958140676513, 0.5818475819758682, 0.5521481317384132, 0.5501191653953238, 0.5304408557324345, 0.5250623526720677, 0.48405367988969944, 0.47331411068219703, 0.4409859159290243, 0.4203509152069382, 0.3911040538198445, 0.38767584862849613, 0.35914703777403323, 0.34589200725695246, 0.3178986621585725, 0.30054443894741034, 0.28305433722146334, 0.2678053912878536, 0.24590098763559967, 0.2416084811403029, 0.2197315521733773, 0.21420398802639595, 0.19233105855470728, 0.18403940001432187, 0.17696746991655304, 0.1654096117422029, 0.16158389301793052, 0.1531603267204084, 0.1406720536169655, 0.13598633564751392, 0.12348495346077153, 0.11743266293738602, 0.11324754442424405, 0.10346419617968805, 0.10105810419726965, 0.09755035878625484, 0.08521052010235579, 0.08051506215439444, 0.0759583107013363, 0.06567155834965828, 0.062032890044138686, 0.05790138986882107, 0.052692062092284636, 0.050076371107466565, 0.03891366989671977, 0.03450913301717087, 0.03144439549904581, 0.02275799917401419, 0.01928790535290494, 0.014513053798637078, 0.010418781363222171, 0.005221383415288251, 0.002792433644939226, 0.001860562172121072]"
0,64,1,4,0,0,0.742672754589566,0.5515628204096538,2.733224617581642,0.11672682515866126,27.615870501916,89.87079712366764,"[0.886075215703194, 0.7738015351769637, 0.7490146581321226, 0.6858164048054608, 0.6721376653533532, 0.6641246972295364, 0.6051584313386181, 0.5917794868064015, 0.572702325452348, 0.5370225948005767, 0.501806087003876, 0.4671953808243694, 0.4552151402576424, 0.4400877946543534, 0.41869586262104436, 0.4134911633315276, 0.3949412657317306, 0.3804592408638033, 0.3672392565539143, 0.3417092510952154, 0.31633428009867554, 0.3071904869967751, 0.3004652783197008, 0.26812580183095525, 0.25652974145636115, 0.24605605876895517, 0.231296633911506, 0.22971541659941128, 0.21383809165170106, 0.20473284666511313, 0.19934226315994122, 0.19569987608800168, 0.19250358493567274, 0.18263863004014813, 0.1693404875339069, 0.15396469581943434, 0.14638761129231767, 0.1426122002232969, 0.13601909424595413, 0.1281166132912299, 0.12140734148233072, 0.1122702751601943, 0.10786867963495508, 0.1017325927369475, 0.09553801198256523, 0.0915498255343322, 0.08324506304039327, 0.07914645875087388, 0.0757979285454465, 0.06390818705791036, 0.061455470512101304, 0.05524773388288903, 0.05170861297961505, 0.044669551331540616, 0.03901215915955239, 0.027731439647603107, 0.026714354750502923, 0.023236610762716246, 0.017522219032577772, 0.0149774571681615, 0.010976878182257226, 0.006781661528421755, 0.003930983928499463, 0.0022550136838857594]"
0,64,2,3,0,0,0.4417666160266419,0.1951577430356305,3.453047524911909,0.1863052688953165,22.583311185360344,89.96347106272613,"[0.9233221134776702, 0.8704250599011485, 0.8343858997380296, 0.8180794705856924, 0.7896111014804301, 0.7733995425334209, 0.7216929400684683, 0.7083882044917352, 0.688147327289315, 0.670568233585373, 0.6554445188221583, 0.6447168480364542, 0.6153162174755141, 0.6076862147555547, 0.5876035895861924, 0.580515548570445, 0.5635018560607827, 0.5330452631687445, 0.49594026793125306, 0.4889023768195724, 0.4682162519190228, 0.4658756898780657, 0.4367221727063835, 0.43594112513018846, 0.3916290380878432, 0.3769991480404675, 0.35224204463332315, 0.34490038394487615, 0.31980784409360874, 0.3157044101735925, 0.2978267831184351, 0.289249587023712, 0.2752443857249432, 0.26488235278279576, 0.26073770406622615, 0.2305249219314336, 0.22401329869551367, 0.2148959896831894, 0.19729400707106678, 0.1967008612541513, 0.17824095375622262, 0.17593352621422065, 0.1607173748492844, 0.15444177373366658, 0.14280089457650666, 0.13812650463365825, 0.12815906040279612, 0.1208672015630618, 0.11608893748068408, 0.10600872008332853, 0.09442635727548232, 0.09288899627150493, 0.07583070376796477, 0.07030016362296497, 0.05734264673869632, 0.0528926609770363, 0.04613555623169116, 0.03435835082374106, 0.02816165564389706, 0.025219965490217724, 0.020898160496629778, 0.015903451851829533, 0.006809379909340679, 0.0006375501844928349]"
0,64,2,4,0,0,0.4284842358882584,0.1835987404047447,3.19856656343593,0.15985668844891157,24.24253731381565,89.88102239589251,"[0.9118155313349406, 0.8650356898897298, 0.8195025415160063, 0.7986605264372768, 0.7327448429674508, 0.7044292509677155, 0.6930718290238886, 0.6769919940781381, 0.6406270044909048, 0.6218537863603316, 0.6083620276571956, 0.5851190620694681, 0.5445473462239565, 0.5329159296935546, 0.5201788048821092, 0.5008378964447043, 0.49463471787788066, 0.48879919149968926, 0.44411511054849334, 0.438308655377202, 0.4239017580321629, 0.4082885084460383, 0.3958497211881239, 0.3795719976526209, 0.35841350863918214, 0.3395310668836448, 0.31857815518390287, 0.2978610586254504, 0.2935167066208586, 0.26464461374779263, 0.25026128814988, 0.23491695654340572, 0.2292599061549979, 0.2197156190775688, 0.21480407448454428, 0.2030721792670425, 0.19957503920256356, 0.18664757036361224, 0.18224686159163075, 0.17674408850887266, 0.16430017542360575, 0.15551383650528505, 0.14628200977169892, 0.13889786356404674, 0.1275456766966768, 0.12273596480591822, 0.1198193151801171, 0.10906621390814514, 0.10453933632586487, 0.10066646009594642, 0.08805588332667744, 0.08105829283103688, 0.06785608928196717, 0.060116747277797256, 0.05409365070190734, 0.04705585168864111, 0.03846522467433769, 0.035941201540762996, 0.028136539731228784, 0.025113153973978588, 0.019406329428747603, 0.013078390632759382, 0.00376981899315616, 0.0020765494354404806]"
0,64,3,4,0,0,0.4198904649687054,0.17630800257163562,3.197624126397279,0.1597625008393432,24.606441835936504,89.9569513504742,"[0.9091893003318764, 0.8524747786289364, 0.8045655784322888, 0.7477097149192242, 0.7022906856593202, 0.6713123330157992, 0.6564615714990341, 0.6399233822418137, 0.627083672687859, 0.5984430493362108, 0.5831907128994794, 0.5607693783067388, 0.5499743630727486, 0.5280449514908899, 0.5254993374663098, 0.4966736472250561, 0.482006319069951, 0.47520161183164106, 0.4572782772900849, 0.43662581930154454, 0.4304903757949719, 0.4202185578738043, 0.4111801525151981, 0.3951091213450886, 0.39169426430175225, 0.3751522447656605, 0.36386641502144845, 0.3487968052833153, 0.32036360694730864, 0.30350253728417353, 0.299729633352911, 0.27804341235989527, 0.2677342962646669, 0.262299216685427, 0.2539929910904065, 0.2462213001747417, 0.24196153571188614, 0.23627681247520116, 0.2132908362809438, 0.19618559676033664, 0.18372289755906526, 0.17086630994709603, 0.1611055247586415, 0.15694191669149501, 0.15439567496958972, 0.13642198417429477, 0.12991517515685103, 0.12345049613542922, 0.11309431509409391, 0.10420438043126268, 0.09574142331020871, 0.08987680591391548, 0.07766418125568057, 0.07291778709125314, 0.05906681707855908, 0.04930954512314551, 0.04480934874403614, 0.03455015110641977, 0.02821254082918803, 0.025487601922309183, 0.020751039465095676, 0.013873626955994168, 0.008328744343856016, 0.0007513406020721225]"
