split,class_label,branch_index,kind,confuser_class,basis_dim,member_size,seed_size,median_gain,radius,extra_bias_scale,gate_strength,val_selected_count,val_selected_correct_count,val_selected_wrong_count,val_help_vs_root_selected_count,val_hurt_vs_root_selected_count,val_changed_when_removed,val_fixed_by_this_branch,val_broken_by_this_branch,val_wrong_redirect_by_this_branch,test_selected_count,test_selected_correct_count,test_selected_wrong_count,test_help_vs_root_selected_count,test_hurt_vs_root_selected_count,test_changed_when_removed,test_fixed_by_this_branch,test_broken_by_this_branch,test_wrong_redirect_by_this_branch
4,3,1,extra,2,32,103,37,0.4141494084910917,4.9934823833259,0.1,2.5,19,17,2,2,0,2,2,0,0,14,11,3,0,0,1,0,0,1
4,4,1,extra,3,32,77,27,0.7025820518932528,4.579237609376036,0.1,2.5,10,7,3,1,1,2,1,1,0,5,3,2,0,0,2,0,0,2
5,0,1,extra,1,48,89,21,0.512499890703088,3.4268298039069194,0.1,2.5,23,22,1,3,1,5,4,1,0,22,19,3,2,1,4,2,2,0
5,1,1,extra,0,48,100,43,0.6161634865198654,5.184151073260266,0.1,2.5,37,23,14,5,7,15,6,7,2,23,16,7,2,4,11,4,4,3
5,1,2,extra,2,48,81,21,0.9407591739821752,4.764913484379849,0.1,2.5,8,5,3,0,0,1,0,0,1,11,9,2,1,1,3,2,1,0
5,2,1,extra,3,48,93,35,0.9154445238909132,4.680773153641338,0.1,2.5,5,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5,2,2,extra,0,48,90,26,0.8697830546868728,5.347220869132038,0.1,2.5,9,7,2,1,1,3,1,1,1,5,5,0,1,0,1,1,0,0
5,3,1,extra,2,48,100,34,0.5881645903300851,4.787347601154301,0.1,2.5,11,9,2,1,1,3,1,1,1,6,4,2,0,0,1,0,0,1
5,4,1,extra,3,48,71,25,1.309120010370569,4.642543329606694,0.1,2.5,3,2,1,0,0,0,0,0,0,7,6,1,0,0,0,0,0,0
6,0,1,extra,1,64,92,27,0.38023614656956606,4.933419514112348,0.1,2.5,29,24,5,2,0,4,3,0,1,11,9,2,1,0,3,2,1,0
6,1,1,extra,0,64,100,39,0.7242175158200792,4.943796183084288,0.1,2.5,24,17,7,1,4,5,1,4,0,25,22,3,2,1,4,1,1,2
6,1,2,extra,2,58,79,19,0.9946055467748849,4.715412922426665,0.1,2.5,13,13,0,3,0,2,2,0,0,17,17,0,4,0,0,0,0,0
6,2,1,extra,3,64,86,28,1.2664102938473116,4.598458726943894,0.1,2.5,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6,2,2,extra,0,64,83,27,1.1304582632119606,4.945111426336907,0.1,2.5,22,19,3,1,0,2,1,0,1,22,18,4,1,1,5,2,1,2
6,3,1,extra,2,64,96,22,0.9390321648566615,4.767274486114417,0.1,2.5,3,1,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
6,4,1,extra,3,64,76,25,1.4013415726227207,4.980581603483104,0.1,2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,extra,1,48,93,28,0.4207022660153079,4.924658759620798,0.1,2.5,19,11,8,0,0,2,0,0,2,19,11,8,3,1,7,3,2,2
7,1,1,extra,0,48,94,36,0.6473839503180563,4.785078836137682,0.1,2.5,29,18,11,4,7,10,5,4,1,27,20,7,2,1,5,2,2,1
7,1,2,extra,2,48,76,20,0.9132848505593558,4.751796506817105,0.1,2.5,14,7,7,1,4,3,0,3,0,3,2,1,0,0,0,0,0,0
7,2,1,extra,3,48,92,36,0.9977503790233968,4.3103878017662085,0.1,2.5,4,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
7,2,2,extra,1,48,87,23,0.8728220347493605,5.144192340842968,0.1,2.5,17,15,2,5,1,1,1,0,0,6,5,1,0,0,1,0,0,1
7,3,1,extra,2,48,95,24,0.6318651921121314,4.392392587344223,0.1,2.5,3,3,0,1,0,1,1,0,0,3,1,2,0,0,0,0,0,0
7,3,2,extra,0,48,93,18,1.0319326522785108,5.153712960022945,0.1,2.5,4,3,1,1,0,2,1,0,1,2,2,0,0,0,0,0,0,0
7,4,1,extra,2,48,71,24,1.3632610716834135,4.845466112645656,0.1,2.5,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
8,0,1,extra,1,32,92,33,0.26029518231152116,4.923895663966183,0.1,2.5,8,5,3,1,0,1,1,0,0,12,5,7,0,1,3,0,3,0
8,0,2,extra,3,32,76,15,0.2576923638866707,4.989893843638201,0.1,2.5,13,8,5,3,1,6,3,1,2,8,2,6,1,1,1,0,1,0
8,1,1,extra,0,32,97,37,0.2617843169618548,5.133646164378808,0.1,2.5,18,14,4,0,2,3,1,2,0,5,5,0,0,0,0,0,0,0
8,1,2,extra,2,32,81,22,0.3746604315842328,4.507470141484019,0.1,2.5,9,5,4,2,0,4,2,0,2,7,5,2,0,1,0,0,0,0
8,2,1,extra,3,32,86,32,0.5664631404707563,4.602303973886777,0.1,2.5,10,4,6,2,1,8,2,1,5,4,3,1,0,0,2,1,0,1
8,2,2,extra,1,32,90,28,0.5051070530731543,4.763620178774675,0.1,2.5,7,7,0,2,0,2,2,0,0,3,3,0,0,0,0,0,0,0
8,3,1,extra,2,32,103,28,0.45359852811397383,4.771337618005916,0.1,2.5,9,8,1,1,0,1,1,0,0,5,4,1,0,0,0,0,0,0
8,4,1,extra,3,32,79,37,0.49142854583436346,4.920129824964493,0.1,2.5,11,10,1,3,1,4,3,1,0,7,6,1,1,0,1,1,0,0
9,0,1,extra,1,48,95,25,0.27548086418103734,4.732564283879359,0.1,2.5,25,15,10,2,1,7,2,1,4,11,7,4,0,1,1,0,1,0
9,0,2,extra,2,48,84,20,0.33172044633443265,5.006886214996541,0.1,2.5,12,8,4,3,0,3,3,0,0,5,2,3,0,0,2,0,0,2
9,1,1,extra,0,48,102,35,0.38108385598740546,4.911572623383292,0.1,2.5,16,14,2,2,1,3,2,1,0,5,5,0,2,0,2,2,0,0
9,1,2,extra,2,48,90,28,0.6441522426249875,4.689445433213137,0.1,2.5,12,9,3,2,0,3,1,0,2,5,5,0,1,0,1,1,0,0
9,2,1,extra,3,48,86,28,0.9984084260278705,4.602271954239958,0.1,2.5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,2,extra,1,48,87,26,0.8237581006112173,5.2999773271268005,0.1,2.5,11,11,0,1,0,1,1,0,0,8,7,1,0,0,1,0,0,1
9,3,1,extra,2,48,97,28,0.6685322030832443,4.4252274240712435,0.1,2.5,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
9,3,2,extra,0,48,85,18,1.014631803539933,5.067035940985758,0.1,2.5,7,6,1,1,1,1,1,0,0,4,3,1,1,0,1,1,0,0
9,4,1,extra,3,48,64,23,1.5631613117424061,4.283840627279049,0.1,2.5,4,4,0,0,0,0,0,0,0,5,5,0,1,0,1,1,0,0


