node_id,true_label,parameter,value,error_count,total_configs_with_value,error_rate,degree_sym,same_label_neighbor_ratio,neighbor_label_entropy,raw_feat_nnz
30,2,ridge_alpha,0.3,20,20,1.0,10,0.2,1.2798542258336676,21
30,2,alpha_sub,0.5,20,20,1.0,10,0.2,1.2798542258336676,21
30,2,beta_ridge,1.0,20,20,1.0,10,0.2,1.2798542258336676,21
30,2,gamma_geom,0.0,9,9,1.0,10,0.2,1.2798542258336676,21
30,2,lambda_compat,0.0,8,8,1.0,10,0.2,1.2798542258336676,21
30,2,dim,8,11,11,1.0,10,0.2,1.2798542258336676,21
30,2,local_rank,3,20,20,1.0,10,0.2,1.2798542258336676,21
30,2,preprocess_mode,raw,20,20,1.0,10,0.2,1.2798542258336676,21
30,2,feature_mode,rnr_plus_raw,20,20,1.0,10,0.2,1.2798542258336676,21
30,2,rnr_variant,full,20,20,1.0,10,0.2,1.2798542258336676,21
38,1,lambda_smooth,0.1,11,11,1.0,10,0.2,1.5571130980576458,2
38,1,ridge_alpha,0.3,20,20,1.0,10,0.2,1.5571130980576458,2
38,1,alpha_sub,0.5,20,20,1.0,10,0.2,1.5571130980576458,2
38,1,beta_ridge,1.0,20,20,1.0,10,0.2,1.5571130980576458,2
38,1,gamma_geom,0.0,9,9,1.0,10,0.2,1.5571130980576458,2
38,1,lambda_compat,0.0,8,8,1.0,10,0.2,1.5571130980576458,2
38,1,dim,8,11,11,1.0,10,0.2,1.5571130980576458,2
38,1,local_rank,3,20,20,1.0,10,0.2,1.5571130980576458,2
38,1,preprocess_mode,raw,20,20,1.0,10,0.2,1.5571130980576458,2
38,1,feature_mode,rnr_plus_raw,20,20,1.0,10,0.2,1.5571130980576458,2
38,1,rnr_variant,full,20,20,1.0,10,0.2,1.5571130980576458,2
40,3,lambda_smooth,0.1,11,11,1.0,11,0.45454545454545453,1.0361987848192837,11
40,3,ridge_alpha,0.3,20,20,1.0,11,0.45454545454545453,1.0361987848192837,11
40,3,alpha_sub,0.5,20,20,1.0,11,0.45454545454545453,1.0361987848192837,11
40,3,beta_ridge,1.0,20,20,1.0,11,0.45454545454545453,1.0361987848192837,11
40,3,gamma_geom,0.0,9,9,1.0,11,0.45454545454545453,1.0361987848192837,11
40,3,lambda_compat,0.0,8,8,1.0,11,0.45454545454545453,1.0361987848192837,11
40,3,dim,8,11,11,1.0,11,0.45454545454545453,1.0361987848192837,11
40,3,local_rank,3,20,20,1.0,11,0.45454545454545453,1.0361987848192837,11
40,3,preprocess_mode,raw,20,20,1.0,11,0.45454545454545453,1.0361987848192837,11
40,3,feature_mode,rnr_plus_raw,20,20,1.0,11,0.45454545454545453,1.0361987848192837,11
40,3,rnr_variant,full,20,20,1.0,11,0.45454545454545453,1.0361987848192837,11
41,0,lambda_smooth,0.1,11,11,1.0,13,0.5384615384615384,1.1569876443452742,2
41,0,ridge_alpha,0.3,20,20,1.0,13,0.5384615384615384,1.1569876443452742,2
41,0,alpha_sub,0.5,20,20,1.0,13,0.5384615384615384,1.1569876443452742,2
41,0,beta_ridge,1.0,20,20,1.0,13,0.5384615384615384,1.1569876443452742,2
41,0,gamma_geom,0.0,9,9,1.0,13,0.5384615384615384,1.1569876443452742,2
41,0,lambda_compat,0.0,8,8,1.0,13,0.5384615384615384,1.1569876443452742,2
41,0,dim,8,11,11,1.0,13,0.5384615384615384,1.1569876443452742,2
41,0,local_rank,3,20,20,1.0,13,0.5384615384615384,1.1569876443452742,2
41,0,preprocess_mode,raw,20,20,1.0,13,0.5384615384615384,1.1569876443452742,2
41,0,feature_mode,rnr_plus_raw,20,20,1.0,13,0.5384615384615384,1.1569876443452742,2
41,0,rnr_variant,full,20,20,1.0,13,0.5384615384615384,1.1569876443452742,2
42,0,lambda_smooth,0.1,11,11,1.0,1,0.0,-0.0,3
42,0,ridge_alpha,0.3,20,20,1.0,1,0.0,-0.0,3
42,0,alpha_sub,0.5,20,20,1.0,1,0.0,-0.0,3
42,0,beta_ridge,1.0,20,20,1.0,1,0.0,-0.0,3
42,0,gamma_geom,0.0,9,9,1.0,1,0.0,-0.0,3
42,0,lambda_compat,0.0,8,8,1.0,1,0.0,-0.0,3
42,0,dim,8,11,11,1.0,1,0.0,-0.0,3
42,0,local_rank,3,20,20,1.0,1,0.0,-0.0,3
42,0,preprocess_mode,raw,20,20,1.0,1,0.0,-0.0,3
42,0,feature_mode,rnr_plus_raw,20,20,1.0,1,0.0,-0.0,3
42,0,rnr_variant,full,20,20,1.0,1,0.0,-0.0,3
46,3,lambda_smooth,0.1,11,11,1.0,2,0.5,0.6931471805599453,4
46,3,ridge_alpha,0.3,20,20,1.0,2,0.5,0.6931471805599453,4
46,3,alpha_sub,0.5,20,20,1.0,2,0.5,0.6931471805599453,4
46,3,beta_ridge,1.0,20,20,1.0,2,0.5,0.6931471805599453,4
46,3,gamma_geom,0.0,9,9,1.0,2,0.5,0.6931471805599453,4
46,3,lambda_compat,0.0,8,8,1.0,2,0.5,0.6931471805599453,4
46,3,dim,8,11,11,1.0,2,0.5,0.6931471805599453,4
46,3,local_rank,3,20,20,1.0,2,0.5,0.6931471805599453,4
46,3,preprocess_mode,raw,20,20,1.0,2,0.5,0.6931471805599453,4
46,3,feature_mode,rnr_plus_raw,20,20,1.0,2,0.5,0.6931471805599453,4
46,3,rnr_variant,full,20,20,1.0,2,0.5,0.6931471805599453,4
47,2,lambda_smooth,0.1,11,11,1.0,10,0.1,1.5047882836811908,8
47,2,ridge_alpha,0.3,20,20,1.0,10,0.1,1.5047882836811908,8
47,2,alpha_sub,0.5,20,20,1.0,10,0.1,1.5047882836811908,8
47,2,beta_ridge,1.0,20,20,1.0,10,0.1,1.5047882836811908,8
47,2,gamma_geom,0.0,9,9,1.0,10,0.1,1.5047882836811908,8
47,2,lambda_compat,0.0,8,8,1.0,10,0.1,1.5047882836811908,8
47,2,dim,8,11,11,1.0,10,0.1,1.5047882836811908,8
47,2,local_rank,3,20,20,1.0,10,0.1,1.5047882836811908,8
47,2,preprocess_mode,raw,20,20,1.0,10,0.1,1.5047882836811908,8
47,2,feature_mode,rnr_plus_raw,20,20,1.0,10,0.1,1.5047882836811908,8
47,2,rnr_variant,full,20,20,1.0,10,0.1,1.5047882836811908,8
51,1,lambda_smooth,0.1,11,11,1.0,10,0.2,1.5571130980576458,0
51,1,ridge_alpha,0.3,20,20,1.0,10,0.2,1.5571130980576458,0
51,1,alpha_sub,0.5,20,20,1.0,10,0.2,1.5571130980576458,0
51,1,beta_ridge,1.0,20,20,1.0,10,0.2,1.5571130980576458,0
51,1,gamma_geom,0.0,9,9,1.0,10,0.2,1.5571130980576458,0
51,1,lambda_compat,0.0,8,8,1.0,10,0.2,1.5571130980576458,0
51,1,dim,8,11,11,1.0,10,0.2,1.5571130980576458,0
51,1,local_rank,3,20,20,1.0,10,0.2,1.5571130980576458,0
51,1,preprocess_mode,raw,20,20,1.0,10,0.2,1.5571130980576458,0
51,1,feature_mode,rnr_plus_raw,20,20,1.0,10,0.2,1.5571130980576458,0
51,1,rnr_variant,full,20,20,1.0,10,0.2,1.5571130980576458,0
56,1,lambda_smooth,0.1,11,11,1.0,1,0.0,-0.0,2
56,1,ridge_alpha,0.3,20,20,1.0,1,0.0,-0.0,2
56,1,alpha_sub,0.5,20,20,1.0,1,0.0,-0.0,2
